time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,rollout/ep_len_mean,train/loss,train/clip_range,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance
10,512,1,50,,,,,,,,,,,,,
25,1024,2,40,0.01034486,-4.2533097743988035,1000.0,0.3823569416999817,0.2,-0.0164690419100225,0.9974683523178101,-45.054945,0.0002,0.8437129408121109,10,0.15,0.005386292934417725
36,1536,3,42,0.006984303,-4.248084712028503,1000.0,0.3522621989250183,0.2,-0.008742186380550266,0.9970447421073914,-45.054945,0.0002,0.8798480227589607,20,0.0626953125,0.0633707046508789
48,2048,4,41,0.016009934,-4.246432411670685,1000.0,0.42197543382644653,0.2,-0.009134461358189582,0.9955925941467285,-37.5624375,0.0002,1.0341201350092888,30,0.1046875,-0.014017343521118164
60,2560,5,42,0.0065211323,-4.24035655260086,1000.0,0.2659131586551666,0.2,-0.006591248838230967,0.9936079978942871,-37.5624375,0.0002,0.8721106827259064,40,0.066796875,-0.14825105667114258
73,3072,6,42,0.007746443,-4.233462929725647,1000.0,0.3169887065887451,0.2,-0.007777891051955521,0.9903790950775146,-42.447768333333336,0.0002,0.9337941646575928,50,0.0916015625,0.24198991060256958
84,3584,7,42,0.008157289,-4.225172734260559,1000.0,0.016503525897860527,0.2,-0.008454808848910034,0.9888297915458679,-42.447768333333336,0.0002,0.48207500893622635,60,0.11875,0.4614805579185486
96,4096,8,42,0.005615854,-4.221362316608429,1000.0,0.22793424129486084,0.2,-0.004532153531908989,0.986954391002655,-47.576567,0.0002,0.5905871495604516,70,0.0765625,0.7121588289737701
107,4608,9,43,0.008665542,-4.215120720863342,1000.0,0.05808163434267044,0.2,-0.007619815273210406,0.9859268069267273,-47.576567,0.0002,0.4454935133457184,80,0.1701171875,0.5323626101016998
120,5120,10,42,0.0028274863,-4.214764881134033,1000.0,0.21505653858184814,0.2,-0.0051967986859381195,0.9863303899765015,-51.2236468,0.0002,0.5266203925013542,90,0.0783203125,0.28574323654174805
132,5632,11,42,0.008241992,-4.216028213500977,1000.0,0.06135275214910507,0.2,-0.005945174652151763,0.9866527318954468,-51.2236468,0.0002,0.3844479098916054,100,0.0923828125,0.8436543941497803
145,6144,12,42,0.010791768,-4.216127514839172,1000.0,0.10162991285324097,0.2,-0.005284619005396962,0.9859424829483032,-52.75831483333332,0.0002,0.4185001399368048,110,0.0818359375,0.8864886686205864
159,6656,13,41,0.008983663,-4.2126529812812805,1000.0,0.04743669554591179,0.2,-0.007832143525592982,0.9849954843521118,-52.75831483333332,0.0002,0.33486930895596745,120,0.139453125,0.9406686685979366
171,7168,14,41,0.004923231,-4.212257516384125,1000.0,0.1945573389530182,0.2,-0.006264848471619189,0.9858419895172119,-52.82675699999999,0.0002,0.4298054944723845,130,0.044140625,0.8710776120424271
183,7680,15,41,0.012093753,-4.213974928855896,1000.0,0.1878940761089325,0.2,-0.010791563102975488,0.9855887293815613,-52.82675699999999,0.0002,0.7002425037324429,140,0.1189453125,0.7364346086978912
194,8192,16,42,0.004616645,-4.210561239719391,1000.0,0.05764316767454147,0.2,-0.002108761586714536,0.9836732149124146,-53.970560625,0.0002,0.21711165346205236,150,0.034765625,0.8092600554227829
206,8704,17,42,0.01365417,-4.206152391433716,1000.0,0.11351927369832993,0.2,-0.010373576660640538,0.9827158451080322,-53.970560625,0.0002,0.47396925538778306,160,0.0955078125,0.8673592209815979
218,9216,18,42,0.006326675,-4.20294771194458,1000.0,0.08462215960025787,0.2,-0.009344526217319071,0.9818131327629089,-53.549157888888885,0.0002,0.20292492322623729,170,0.11953125,0.920995831489563
230,9728,19,42,0.010586962,-4.199349296092987,1000.0,0.19993647933006287,0.2,-0.008328726550098508,0.9802298545837402,-53.549157888888885,0.0002,0.6689863808453083,180,0.1404296875,0.793032094836235
241,10240,20,42,0.009794768,-4.194916415214538,1000.0,0.0475616529583931,0.2,-0.0054768400732427835,0.9791800379753113,-54.539757099999996,0.0002,0.23497400116175413,190,0.1240234375,0.9460098631680012
256,10752,21,41,0.010514015,-4.1930790662765505,1000.0,0.16659528017044067,0.2,-0.01012602107366547,0.9788421392440796,-54.539757099999996,0.0002,0.6352956555783749,200,0.0857421875,0.8272631019353867
273,11264,22,41,0.0068086702,-4.192554748058319,1000.0,0.0011001983657479286,0.2,-0.0074139823205769066,0.9794219732284546,-55.236080363636354,0.0002,0.15017132093198599,210,0.067578125,0.9596796482801437
285,11776,23,41,0.011920928,-4.195126521587372,1000.0,0.17962723970413208,0.2,-0.008462010859511792,0.9794219732284546,-55.236080363636354,0.0002,0.7373154975473881,220,0.115234375,0.7705254554748535
297,12288,24,41,0.00781757,-4.191918206214905,1000.0,0.2633163034915924,0.2,-0.014416082110255957,0.9777948260307312,-52.06795224999999,0.0002,0.985528576374054,230,0.1341796875,0.7967361956834793
310,12800,25,41,0.009634698,-4.184646487236023,1000.0,0.23461350798606873,0.2,-0.010598486615344882,0.9736377000808716,-52.06795224999999,0.0002,0.8625903524458408,240,0.1009765625,0.8854888081550598
324,13312,26,40,0.009410854,-4.1729942798614506,1000.0,0.3305686414241791,0.2,-0.011778408661484718,0.9719399213790894,-47.2080243076923,0.0002,1.0946687147021295,250,0.12734375,0.7863934487104416
337,13824,27,40,0.010906228,-4.171710848808289,1000.0,0.27234748005867004,0.2,-0.0139252815162763,0.9723697900772095,-47.2080243076923,0.0002,0.9182795770466328,260,0.112890625,0.9315718412399292
349,14336,28,41,0.010134845,-4.172609388828278,1000.0,0.270964115858078,0.2,-0.0022818597033619882,0.9721659421920776,-44.37821964285713,0.0002,0.9996826380491257,270,0.13984375,0.8885785862803459
360,14848,29,41,0.020649122,-4.170695674419403,1000.0,0.04078308120369911,0.2,-0.017822054820135234,0.9712427854537964,-44.37821964285713,0.0002,0.2398191574960947,280,0.139453125,0.975198095664382
374,15360,30,41,0.0045187552,-4.168166470527649,1000.0,0.018982287496328354,0.2,-0.0013537855818867683,0.9705197215080261,-46.16787313333332,0.0002,0.07948066594544798,290,0.0341796875,0.7559579759836197
384,15872,31,41,0.011231291,-4.163839328289032,1000.0,0.06504470109939575,0.2,-0.010291646514087916,0.9686534404754639,-46.16787313333332,0.0002,0.23231255300343037,300,0.0955078125,0.9691076446324587
397,16384,32,41,0.00413263,-4.157116568088531,1000.0,-0.009894927963614464,0.2,-0.0016559686744585633,0.9653161764144897,-47.8532765625,0.0002,0.049330055195605384,310,0.100390625,0.8527952581644058
411,16896,33,41,0.008746886,-4.1485056519508365,1000.0,0.12487010657787323,0.2,-0.0070893987664021555,0.9642292261123657,-47.8532765625,0.0002,0.3267907314002514,320,0.04765625,0.903836578130722
427,17408,34,40,0.007797136,-4.151531517505646,1000.0,0.002245434559881687,0.2,-0.006177828065119684,0.9671704173088074,-49.613541352941176,0.0002,0.04484230481320992,330,0.084375,0.6886311769485474
442,17920,35,40,0.004471623,-4.157314825057983,1000.0,0.09919322282075882,0.2,-0.008488469524309039,0.9671128988265991,-49.613541352941176,0.0002,0.4313814785331488,340,0.0697265625,0.8618170917034149
454,18432,36,40,0.0023595737,-4.15516767501831,1000.0,0.04012148082256317,0.2,0.0009150011697784066,0.9665867686271667,-50.67667794444444,0.0002,0.07335270852781832,350,0.008984375,0.18629580736160278
464,18944,37,40,0.014934136,-4.153236317634582,1000.0,0.01630130037665367,0.2,-0.01889284634962678,0.9653279185295105,-50.67667794444444,0.0002,0.15521788904443384,360,0.1138671875,0.9258042052388191
477,19456,38,40,0.0018854191,-4.150468730926514,1000.0,0.01675422675907612,0.2,0.00017711077816784382,0.9653050303459167,-52.20937805263158,0.0002,0.06895793905714527,370,0.0078125,0.6566000282764435
489,19968,39,40,0.009939456,-4.149803268909454,1000.0,0.06564605236053467,0.2,-0.007765974325593561,0.9642817974090576,-52.20937805263158,0.0002,0.34917895682156086,380,0.1046875,0.8591260313987732
503,20480,40,40,0.008216135,-4.143936181068421,1000.0,-0.013615656644105911,0.2,-0.010174433840438724,0.9622060656547546,-53.23372145,0.0002,0.04961657184176147,390,0.1484375,0.9294454455375671
516,20992,41,40,0.009263736,-4.140594279766082,1000.0,0.22761116921901703,0.2,-0.0050042533781379465,0.9623600840568542,-53.23372145,0.0002,0.6068565547466278,400,0.0935546875,0.8827633708715439
528,21504,42,40,0.011731053,-4.139458930492401,1000.0,-0.0005780961364507675,0.2,-0.02244623312726617,0.9609832167625427,-53.62211380952381,0.0002,0.04876313009299338,410,0.1798828125,0.9484368152916431
543,22016,43,40,0.0100035025,-4.139057433605194,1000.0,0.021755557507276535,0.2,-0.01879820376052521,0.9622980952262878,-54.86274640909091,0.0002,0.13481535883620382,420,0.1396484375,0.936181902885437
555,22528,44,40,0.011352051,-4.144285202026367,1000.0,0.0010748310014605522,0.2,-0.01404678754042834,0.964917778968811,-54.86274640909091,0.0002,0.025596041011158376,430,0.120703125,0.9716643746942282
567,23040,45,40,0.012410931,-4.14828360080719,1000.0,0.17948058247566223,0.2,-0.014506801916286349,0.9637255072593689,-53.48075408695652,0.0002,1.0529073111712932,440,0.095703125,0.3752262592315674
579,23552,46,40,0.005209421,-4.14486346244812,1000.0,0.024693084880709648,0.2,-0.007457353686913848,0.9636115431785583,-53.48075408695652,0.0002,0.15844517750665546,450,0.1482421875,0.9422408603131771
590,24064,47,40,0.0107160155,-4.1448058724403385,1000.0,0.3391299247741699,0.2,-0.007230340293608606,0.9633354544639587,-48.329935625,0.0002,1.9888838335871697,460,0.11484375,0.5791663825511932
601,24576,48,40,0.011702424,-4.141128635406494,1000.0,0.6273813247680664,0.2,-0.010149868275038897,0.961262583732605,-48.329935625,0.0002,1.2456319838762284,470,0.1755859375,0.36863571405410767
614,25088,49,40,0.011115598,-4.135354399681091,1000.0,0.28025782108306885,0.2,-0.006614137813448906,0.9597465395927429,-46.91847732,0.0002,1.185476789623499,480,0.17890625,0.6465089023113251
626,25600,50,40,0.0062078657,-4.132088232040405,1000.0,0.062405530363321304,0.2,-0.01151260887272656,0.959389865398407,-46.91847732,0.0002,0.47409457676112654,490,0.078125,0.8636338412761688
640,26112,51,40,0.011925136,-4.130904746055603,1000.0,0.4675978124141693,0.2,-0.006610059575177729,0.9590935707092285,-42.71962603846154,0.0002,1.721753142774105,500,0.1330078125,0.5681457221508026
652,26624,52,40,0.010680154,-4.128871786594391,1000.0,0.4344797730445862,0.2,-0.01903726935852319,0.957866907119751,-42.71962603846154,0.0002,1.37534439265728,510,0.2060546875,0.712165504693985
666,27136,53,40,0.011934185,-4.126374018192291,1000.0,0.4452603757381439,0.2,-0.006154135684482753,0.957915186882019,-38.954440000000005,0.0002,1.6913792490959167,520,0.1333984375,-0.0292586088180542
681,27648,54,40,0.007220898,-4.123886466026306,1000.0,0.29518625140190125,0.2,-0.006260819523595274,0.955567479133606,-38.954440000000005,0.0002,0.9786126390099525,530,0.1240234375,0.7242017984390259
