time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
4096,84,1,48,,,,,,,,,,,,
8192,78,2,103,-1.5974078979343176,0.011797233,0.1389892578125,0.0024161934852600098,0.2,1000.0,0.2930941581726074,-0.013010444928659127,0.7912619594484568,0.0002,-48.366994,10
12288,75,3,163,-1.578993471339345,0.01392247,0.195166015625,0.054900288581848145,0.2,1000.0,0.13640284538269043,-0.014579561704886146,0.5916965835727751,0.0002,-48.366994,20
16384,68,4,238,-1.5420702904462815,0.012643855,0.1896240234375,0.11409658193588257,0.2,1000.0,0.2732502222061157,-0.014857930244761518,0.7390716332942248,0.0002,-38.288061625,30
20480,65,5,310,-1.4813217796385287,0.01793895,0.14189453125,0.1470659375190735,0.2,1000.0,0.1807013303041458,-0.015328050825337414,0.5256604125257581,0.0002,-38.288061625,40
24576,63,6,387,-1.4413114484399556,0.017605089,0.1550537109375,0.2584821581840515,0.2,1000.0,0.19182129204273224,-0.013210607350629289,0.9110421326942741,0.0002,-33.62158383333334,50
28672,61,7,463,-1.5129102036356925,0.011617018,0.0869873046875,0.7048786878585815,0.2,1000.0,0.058139435946941376,-0.010514195982250386,0.265352068352513,0.0002,-33.62158383333334,60
32768,60,8,537,-1.482895478233695,0.008946635,0.056787109375,0.6844228208065033,0.2,1000.0,0.1464105248451233,-0.0070146900368854405,0.878768891748041,0.0002,-27.61579478125,70
36864,59,9,617,-1.5163249492645263,0.02735433,0.1081298828125,0.9256060793995857,0.2,1000.0,0.11825191229581833,-0.008211064184433781,0.2811862187110819,0.0002,-27.61579478125,80
40960,59,10,688,-1.5141613133251668,0.053604852,0.1745849609375,0.9154698625206947,0.2,1000.0,0.0883844643831253,-0.009209867080789991,0.47333542939741163,0.0002,-25.130604325,90
45056,58,11,770,-1.4684134837239982,0.03328284,0.2584716796875,0.9750871304422617,0.2,1000.0,0.11816062033176422,-0.01047970741346944,0.3223419680725783,0.0002,-25.130604325,100
49152,57,12,850,-1.4841452449560166,0.00664359,0.071728515625,0.972806766629219,0.2,1000.0,0.056154072284698486,-0.008707873677485623,0.3043450521072373,0.0002,-24.086485479166665,110
53248,57,13,926,-1.471628887206316,0.026031949,0.2399169921875,0.982537716627121,0.2,1000.0,0.11191771924495697,-0.014551069225126412,0.3993272798368707,0.0002,-24.086485479166665,120
57344,57,14,1002,-1.5360815599560738,0.012666704,0.1554931640625,0.9550948813557625,0.2,1000.0,0.033366747200489044,-0.01099927681934787,0.3314667218364775,0.0002,-22.113301142857143,130
61440,56,15,1080,-1.4274865653365851,0.04027371,0.239794921875,0.9828363060951233,0.2,1000.0,0.19392743706703186,-0.013944539520889521,0.8525085618719459,0.0002,-22.113301142857143,140
65536,56,16,1154,-1.4581584960222245,0.021888353,0.214208984375,0.9368327856063843,0.2,1000.0,0.1160632073879242,-0.00572704399965005,1.0165669495239853,0.0002,-11.2655588125,150
69632,56,17,1234,-1.3901184737682342,0.03925917,0.178857421875,0.9607123397290707,0.2,1000.0,0.36180710792541504,-0.009761521940527018,2.2319530535489323,0.0002,-11.2655588125,160
73728,56,18,1310,-1.2508511602878571,0.019781236,0.161572265625,0.9171639159321785,0.2,1000.0,2.725581169128418,-0.005587391083827243,11.817864240705967,0.0002,21.465477236111113,170
77824,55,19,1390,-1.3358076728880406,0.021913206,0.238525390625,0.9899235786870122,0.2,1000.0,0.27351492643356323,-0.004161255959479604,1.2184987703338266,0.0002,21.465477236111113,180
81920,55,20,1472,-1.1961590267717839,0.017259398,0.12958984375,0.9403172358870506,0.2,1000.0,2.631472587585449,-0.002188525826204568,12.830226119607687,0.0002,61.726913325,190
86016,55,21,1550,-1.2287954103201628,0.010239441,0.1264404296875,0.9706172104924917,0.2,1000.0,1.4067686796188354,-0.003841430719330674,6.540588781237602,0.0002,61.726913325,200
90112,55,22,1633,-0.9399215664714575,0.010625139,0.095556640625,0.8621362894773483,0.2,1000.0,7.383260726928711,-0.0017244260699953884,28.788637906312943,0.0002,107.6327163181818,210
94208,55,23,1711,-1.0022761220112444,0.0138738835,0.137548828125,0.9200379401445389,0.2,1000.0,10.19939136505127,-0.0050392447999911385,26.3641333848238,0.0002,107.6327163181818,220
98304,54,24,1789,-0.8807378085330129,0.011238989,0.1229736328125,0.9186813160777092,0.2,999.1875,7.048822402954102,-0.0028059628326445817,25.041590842604638,0.0002,158.69082678124997,230
102400,54,25,1868,-0.9409661777317524,0.014509996,0.1087646484375,0.9477855488657951,0.2,999.1875,3.797079563140869,-0.006612640689127147,14.601458634436131,0.0002,158.69082678124997,240
106496,54,26,1949,-0.7887294242158532,0.011610344,0.1548583984375,0.8445566147565842,0.2,999.22,14.097132682800293,-0.004160426071030088,33.96544733345509,0.0002,218.20978101,250
110592,54,27,2028,-0.7675707437098026,0.01684039,0.1615234375,0.8893501684069633,0.2,999.22,9.509955406188965,-0.001256245220429264,31.37024641633034,0.0002,218.20978101,260
114688,54,28,2102,-0.8965098254382611,0.016728379,0.15810546875,0.9335842430591583,0.2,999.22,6.165849208831787,-0.001072482904419303,35.42481183409691,0.0002,277.82527061,270
118784,54,29,2179,-0.7784171126782894,0.012905977,0.1443603515625,0.9196221753954887,0.2,996.89,4.383481502532959,-0.003067590975842904,24.907822743058205,0.0002,287.42132792999996,280
122880,54,30,2264,-0.9094313655048609,0.01151515,0.1422607421875,0.958107553422451,0.2,994.52,5.942718505859375,0.0006983395433053374,19.608230265975,0.0002,337.3755552100001,290
126976,54,31,2345,-0.7495400909334421,0.010507949,0.114892578125,0.9680858850479126,0.2,988.31,2.9572594165802,-0.003714436059817672,10.247612386196852,0.0002,367.7848327599999,300
131072,54,32,2425,-0.8352111043408513,0.031227592,0.2077392578125,0.9476519860327244,0.2,984.92,5.309379577636719,-0.005184028649819083,18.075708140432834,0.0002,397.7684115,310
135168,53,33,2505,-0.694883793592453,0.04414779,0.1856201171875,0.9323947951197624,0.2,984.85,3.6336259841918945,-0.0037067167926579715,18.836317409574985,0.0002,429.53829759,320
139264,53,34,2584,-0.8139691390097141,0.018725934,0.123876953125,0.954136561602354,0.2,984.4,6.27894401550293,-0.0007145327879698015,27.063790145516396,0.0002,459.57611049999997,330
143360,53,35,2664,-0.7143418241292239,0.029615108,0.1848876953125,0.9640027806162834,0.2,982.99,4.19657564163208,-0.0010565723845502363,18.171756660938264,0.0002,492.39366573,340
147456,53,36,2744,-0.9025494802743197,0.015464373,0.1758544921875,0.9745583347976208,0.2,982.99,4.599756717681885,0.003545827484049369,12.035126381367444,0.0002,510.26958298000005,350
151552,53,37,2819,-0.8184174558147788,0.012041479,0.1411865234375,0.9764642361551523,0.2,981.19,2.2561275959014893,-0.005030953590176068,11.398302787542343,0.0002,535.83233993,360
155648,53,38,2890,-1.0213564284145833,0.013734145,0.146337890625,0.9804549049586058,0.2,981.19,2.403682231903076,-0.0024106337150442414,8.913057183101774,0.0002,551.54978689,370
159744,53,39,2962,-0.6722406337037683,0.021395639,0.159326171875,0.9161597415804863,0.2,980.56,3.416170358657837,0.00022209869493963196,21.59933775663376,0.0002,593.9436450299999,380
163840,53,40,3035,-0.8069206519052387,0.01295242,0.144482421875,0.9676931798458099,0.2,978.03,4.557781219482422,-0.0002560649023507722,18.544579847157003,0.0002,615.5713702400001,390
