rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/loss,time/total_timesteps,rollout/exploration_rate,train/learning_rate,time/episodes,train/n_updates,time/fps
-55.75620775,70,1000.0,0.00015796758816577494,4000,0.8413333333333329,0.001,4,974,56
-56.987277250000005,151,1000.0,6.0395177570171654e-05,8000,0.782666666666667,0.001,8,1974,52
-57.55065608333334,240,1000.0,0.042903315275907516,12000,0.7239999999999999,0.001,12,2974,49
-57.543283,316,1000.0,0.05134034901857376,16000,0.6653333333333338,0.001,16,3974,50
-57.91628479999999,393,1000.0,5.566609252127819e-05,20000,0.6066666666666668,0.001,20,4974,50
-59.45301795833334,478,1000.0,0.04655327647924423,24000,0.5479999999999998,0.001,24,5974,50
-55.32535082142858,561,1000.0,0.0828409269452095,28000,0.4893333333333336,0.001,28,6974,49
-53.386236062500004,642,1000.0,0.00030064134625718,32000,0.43066666666666664,0.001,32,7974,49
-50.33524402777779,730,1000.0,0.04345126822590828,36000,0.37199999999999955,0.001,36,8974,49
-48.216315075,813,1000.0,0.044138748198747635,40000,0.3133333333333336,0.001,40,9974,49
-47.813835568181815,897,1000.0,0.1504453718662262,44000,0.2546666666666665,0.001,44,10974,49
-47.7738899375,981,998.3541666666666,0.19153901934623718,47921,0.19715866666666693,0.001,48,11955,48
-50.63002196153847,1061,994.5961538461538,0.000880109379068017,51719,0.14145466666666628,0.001,52,12904,48
-50.338787910714295,1150,994.9821428571429,0.0013794174883514643,55719,0.0827880000000003,0.001,56,13904,48
-52.18075273333334,1244,995.3166666666667,0.002025333698838949,59719,0.024121333333333217,0.001,60,14904,47
-52.989691625000006,1341,995.609375,0.0005527064786292613,63719,0.02,0.001,64,15904,47
-54.86003255882354,1436,995.8676470588235,0.00047267519403249025,67719,0.02,0.001,68,16904,47
-55.63365593055556,1532,996.0972222222222,0.006570359691977501,71719,0.02,0.001,72,17904,46
-56.79671025000002,1626,996.3026315789474,0.0015446675242856145,75719,0.02,0.001,76,18904,46
-58.160962174999995,1717,996.4875,0.0026567475870251656,79719,0.02,0.001,80,19904,46
-58.58038732142857,1815,996.6547619047619,0.003015846712514758,83719,0.02,0.001,84,20904,46
-59.87427844318183,1904,996.8068181818181,0.0011155850952491164,87719,0.02,0.001,88,21904,46
-60.41417521739131,1993,996.945652173913,0.001279263524338603,91719,0.02,0.001,92,22904,46
-60.94855654166667,2085,997.0729166666666,0.002041508909314871,95719,0.02,0.001,96,23904,45
-61.48171928,2172,997.19,0.001780602615326643,99719,0.02,0.001,100,24904,45
-62.335076910000005,2263,997.19,0.005711623001843691,103719,0.02,0.001,104,25904,45
-62.40805297000001,2359,997.19,0.07595805823802948,107719,0.02,0.001,108,26904,45
-62.63580594000001,2445,997.19,0.04317887872457504,111719,0.02,0.001,112,27904,45
-62.89152407000002,2537,997.19,0.0028389866929501295,115719,0.02,0.001,116,28904,45
-63.64979765000001,2620,997.19,0.0008740636403672397,119719,0.02,0.001,120,29904,45
-64.18974613,2696,997.19,0.0002070088085019961,123719,0.02,0.001,124,30904,45
-66.23519761,2777,997.19,0.0011583877494558692,127719,0.02,0.001,128,31904,45
-66.96157496,2861,997.19,0.047315023839473724,131719,0.02,0.001,132,32904,46
-65.88577485,2942,997.19,0.0023683751933276653,135719,0.02,0.001,136,33904,46
-67.26171065999999,3023,997.19,0.002033742144703865,139719,0.02,0.001,140,34904,46
-68.07688373,3103,997.19,0.005583924241364002,143719,0.02,0.001,144,35904,46
-69.24109087,3183,997.98,0.0004435969749465585,147719,0.02,0.001,148,36904,46
-66.36203923,3263,1000.0,0.0013065955135971308,151719,0.02,0.001,152,37904,46
-65.541955,3347,1000.0,0.03643782436847687,155719,0.02,0.001,156,38904,46
-65.16669556000002,3429,1000.0,0.006650625262409449,159719,0.02,0.001,160,39904,46
-65.59753154,3505,1000.0,0.001311947125941515,163719,0.02,0.001,164,40904,46
-64.90288366,3585,1000.0,0.0014678145525977015,167719,0.02,0.001,168,41904,46
-64.38519257,3665,1000.0,0.08250823616981506,171719,0.02,0.001,172,42904,46
-63.35684115,3751,1000.0,0.03009762614965439,175719,0.02,0.001,176,43904,46
-62.82451298000001,3829,1000.0,0.0008565793978050351,179719,0.02,0.001,180,44904,46
-62.68756767000001,3915,1000.0,0.05131988599896431,183719,0.02,0.001,184,45904,46
-62.24198288999999,3994,1000.0,0.00032759542227722704,187719,0.02,0.001,188,46904,46
-62.01778511,4075,1000.0,0.000646409927867353,191719,0.02,0.001,192,47904,47
-61.896222749999986,4158,1000.0,0.013404075056314468,195719,0.02,0.001,196,48904,47
-61.71557245999998,4241,1000.0,0.0018469091737642884,199719,0.02,0.001,200,49904,47
-60.97707303999999,4322,1000.0,0.052650824189186096,203719,0.02,0.001,204,50904,47
-61.49195442999999,4405,1000.0,0.0025288809556514025,207719,0.02,0.001,208,51904,47
-62.04639553999999,4484,1000.0,0.0026798215694725513,211719,0.02,0.001,212,52904,47
-62.81285244000001,4570,1000.0,0.001087518292479217,215719,0.02,0.001,216,53904,47
-63.00306287,4652,1000.0,0.0005082257557660341,219719,0.02,0.001,220,54904,47
-63.05198765000001,4733,1000.0,0.0020067268051207066,223719,0.02,0.001,224,55904,47
-63.221695710000006,4817,1000.0,0.0006767483428120613,227719,0.02,0.001,228,56904,47
-64.39446172,4897,1000.0,0.00014107067545410246,231719,0.02,0.001,232,57904,47
-67.93944532,4980,1000.0,0.000677284668199718,235719,0.02,0.001,236,58904,47
-68.52693485,5058,1000.0,0.00037297376547940075,239719,0.02,0.001,240,59904,47
-68.95689978,5135,1000.0,0.0027006668969988823,243719,0.02,0.001,244,60904,47
-69.33173043000001,5217,1000.0,0.0012942610774189234,247719,0.02,0.001,248,61904,47
-72.20838783,5295,1000.0,0.0014469241723418236,251719,0.02,0.001,252,62904,47
-74.54121661,5376,1000.0,0.0006471239030361176,255719,0.02,0.001,256,63904,47
-75.17473248000002,5458,1000.0,0.0008911527693271637,259719,0.02,0.001,260,64904,47
-75.44205246000001,5541,1000.0,0.00018785754218697548,263719,0.02,0.001,264,65904,47
-76.21085064000002,5623,1000.0,0.03728177770972252,267719,0.02,0.001,268,66904,47
-77.4405864,5705,1000.0,0.0006967251538299024,271719,0.02,0.001,272,67904,47
