time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/std,train/loss
2048,1,1000.0,-60.5792195,66,30,,,,,,,,,,,
4096,2,1000.0,-55.489695000000005,60,67,0.8351873208768665,-4.259210389852524,0.0076134102,-0.008756515232380479,0.2,10,-0.02663397789001465,0.0002,0.093798828125,1.0008184909820557,0.17875666916370392
6144,3,1000.0,-50.44252750000001,58,104,0.7856280571781099,-4.251929590106011,0.007240611,-0.007881640901905485,0.2,20,0.008198320865631104,0.0002,0.091650390625,0.9969367980957031,0.2802855670452118
8192,4,1000.0,-45.66761112499999,58,141,1.0425786988809704,-4.2455471977591515,0.0040766755,-0.0023799933842383325,0.2,30,0.013609111309051514,0.0002,0.046533203125,0.9961485862731934,0.4419551491737366
10240,5,1000.0,-44.421610099999995,57,177,1.4007803341373801,-4.229901346564293,0.008142781,-0.007413688884116709,0.2,40,0.011814892292022705,0.0002,0.091259765625,0.9862005710601807,0.51328045129776
12288,6,1000.0,-43.09979766666667,57,214,1.1768520571291448,-4.204087089002132,0.00789387,-0.006783427100162953,0.2,50,0.029848754405975342,0.0002,0.08134765625,0.9800461530685425,0.663472592830658
14336,7,1000.0,-44.91774107142857,56,251,1.1546838134527206,-4.191810695827007,0.0067452216,-0.006618585216347128,0.2,60,0.03391355276107788,0.0002,0.06259765625,0.9776144027709961,0.7168983817100525
16384,8,1000.0,-45.033505500000004,56,289,1.0236161293461918,-4.182187175750732,0.0033309606,-0.002048647994524799,0.2,70,0.036712646484375,0.0002,0.035302734375,0.9740445613861084,0.3392088711261749
18432,9,1000.0,-42.61155855555556,56,327,1.420467379502952,-4.17255769520998,0.005737221,-0.005492013733601198,0.2,80,0.030484318733215332,0.0002,0.061328125,0.9713937044143677,0.7121245265007019
20480,10,1000.0,-37.33579005,56,364,1.7191939922049642,-4.153282307088375,0.004490378,-0.003472026000963524,0.2,90,0.02546173334121704,0.0002,0.048974609375,0.9629665613174438,0.9513625502586365
22528,11,1000.0,-37.28003990909091,56,398,2.8391883939504625,-4.1296464025974275,0.005797851,-0.005348947257152759,0.2,100,0.016883492469787598,0.0002,0.059814453125,0.9574841856956482,1.0502580404281616
24576,12,1000.0,-38.82850054166666,56,433,1.4633788070641458,-4.107820677757263,0.006795262,-0.0018415732949506492,0.2,110,0.08650577068328857,0.0002,0.05107421875,0.9491168260574341,0.4458061158657074
26624,13,1000.0,-40.53160269230769,56,467,1.6585414212197065,-4.0898130759596825,0.0023362474,-0.0005988436343614012,0.2,120,-0.0353926420211792,0.0002,0.024365234375,0.9458472728729248,0.5662990212440491
28672,14,1000.0,-40.72001953571429,57,500,2.9535358883440495,-4.093072739243508,0.0040977923,-0.0008774455374805257,0.2,130,0.05527913570404053,0.0002,0.02939453125,0.9494823217391968,1.5579397678375244
30720,15,1000.0,-42.6191792,57,534,0.9502608038019389,-4.090231420099736,0.0063685,-0.0005515933997230604,0.2,140,0.13885200023651123,0.0002,0.037109375,0.945170521736145,0.19296970963478088
32768,16,1000.0,-42.5221268125,57,567,1.6941365104168653,-4.0797949701547624,0.007324783,-0.003462973533896729,0.2,150,0.05070936679840088,0.0002,0.04677734375,0.9424054026603699,0.5565575361251831
34816,17,1000.0,-40.71487802941176,57,602,3.379893216304481,-4.071733582019806,0.0045657977,-0.0012865502183558419,0.2,160,0.07448989152908325,0.0002,0.0158203125,0.941835880279541,0.6341814994812012
36864,18,1000.0,-40.39636727777778,57,636,1.0252409590873868,-4.074334751069546,0.0031200708,-0.00035619759000837803,0.2,170,0.726426750421524,0.0002,0.0095703125,0.944429337978363,0.24582454562187195
38912,19,1000.0,-40.592763315789476,58,670,1.887012184970081,-4.075677445530891,0.0033170069,-0.00023414060415234418,0.2,180,0.742333322763443,0.0002,0.01025390625,0.9430251121520996,0.7843027114868164
40960,20,1000.0,-40.21651,58,705,3.179234870709479,-4.0693302497267725,0.0065838606,-0.0031611363316187634,0.2,190,0.686718612909317,0.0002,0.039697265625,0.9405710101127625,1.8798828125
