train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
0.0007,10.475131034851074,1.962902307510376,0.2687649726867676,99,24.42105263157895,150,-0.6792086958885193,100,3,500,24.42105263157895
0.0007,7.099676609039307,1.825844168663025,0.2190340757369995,199,26.210526315789473,184,-0.5119757056236267,200,5,1000,26.210526315789473
0.0007,5.681281566619873,1.2569429874420166,0.005645334720611572,299,28.26923076923077,192,-0.6233256459236145,300,7,1500,28.26923076923077
0.0007,6.4163665771484375,0.7942409515380859,0.07718479633331299,399,31.1875,200,-0.5175507068634033,400,9,2000,31.1875
0.0007,5.257890701293945,0.8791773915290833,-0.005317807197570801,499,33.62162162162162,206,-0.6216372847557068,500,12,2500,33.62162162162162
0.0007,5.155769348144531,1.4094820022583008,0.01072990894317627,599,35.81707317073171,216,-0.5277579426765442,600,13,3000,35.81707317073171
0.0007,4.630136966705322,1.461437463760376,0.11187547445297241,699,39.08045977011494,223,-0.5608638525009155,700,15,3500,39.08045977011494
0.0007,3.9439163208007812,0.7656723856925964,0.004687964916229248,799,42.70967741935484,228,-0.5501279234886169,800,17,4000,42.70967741935484
0.0007,3.4126598834991455,0.6980785131454468,0.0015507936477661133,899,44.31958762886598,234,-0.6056261658668518,900,19,4500,44.31958762886598
0.0007,2.926570177078247,0.5706227421760559,0.0015867352485656738,999,49.34,237,-0.6150191426277161,1000,21,5000,49.34
0.0007,2.4583537578582764,0.6626262068748474,-0.00043523311614990234,1099,53.35,239,-0.5416008234024048,1100,22,5500,53.35
0.0007,2.0399832725524902,0.7389957904815674,0.0019759535789489746,1199,57.69,241,-0.5398985147476196,1200,24,6000,57.69
0.0007,1.6703914403915405,0.8776726722717285,-0.010307908058166504,1299,60.79,243,-0.5118770003318787,1300,26,6500,60.79
0.0007,1.319222331047058,0.45995980501174927,0.0007004737854003906,1399,66.6,245,-0.584601104259491,1400,28,7000,66.6
0.0007,1.0346330404281616,0.4366398751735687,-0.0006059408187866211,1499,70.35,247,-0.5233844518661499,1500,30,7500,70.35
0.0007,0.7649248242378235,0.4539251923561096,0.0013823509216308594,1599,73.84,248,-0.650497555732727,1600,32,8000,73.84
0.0007,0.5475535988807678,0.2649437487125397,-1.4066696166992188e-05,1699,78.18,249,-0.6297163367271423,1700,34,8500,78.18
0.0007,0.36369726061820984,0.28845536708831787,7.593631744384766e-05,1799,82.5,247,-0.6507183909416199,1800,36,9000,82.5
0.0007,0.21739016473293304,0.16636872291564941,0.00028443336486816406,1899,86.01,247,-0.6290923357009888,1900,38,9500,86.01
0.0007,0.11257120221853256,0.11182638257741928,1.4662742614746094e-05,1999,88.55,247,-0.5854344964027405,2000,40,10000,88.55
0.0007,0.03971659019589424,0.07887988537549973,0.00020176172256469727,2099,92.07,248,-0.43823376297950745,2100,42,10500,92.07
0.0007,0.004751019179821014,0.021596629172563553,-0.0005947351455688477,2199,96.08,249,-0.451814740896225,2200,44,11000,96.08
0.0007,5.778775084763765e-05,0.002308546332642436,0.001374959945678711,2299,98.67,251,-0.4664054811000824,2300,45,11500,98.67
0.0007,1.7880591258290224e-05,0.0012587138917297125,-1.52587890625e-05,2399,102.06,252,-0.4312445819377899,2400,47,12000,102.06
0.0007,8.194358088076115e-06,0.0019716478418558836,-4.839897155761719e-05,2499,104.65,252,-0.39234304428100586,2500,49,12500,104.65
0.0007,5.919486625316495e-07,0.00026971055194735527,0.01326608657836914,2599,107.52,252,-0.4487154185771942,2600,51,13000,107.52
0.0007,8.989801244752016e-06,0.001305945566855371,0.014975428581237793,2699,111.05,252,-0.5121316313743591,2700,53,13500,111.05
0.0007,2.4874461246326973e-07,0.0002216115826740861,0.04054683446884155,2799,113.36,253,-0.423697292804718,2800,55,14000,113.36
0.0007,2.726470256675384e-06,0.0005569746135734022,-0.018568038940429688,2899,115.91,254,-0.5947484970092773,2900,57,14500,115.91
0.0007,1.066722961695632e-05,0.0016149244038388133,-0.0030781030654907227,2999,117.29,254,-0.5562286972999573,3000,58,15000,117.29
0.0007,1.0461662895977497e-06,0.000507789955008775,0.009735703468322754,3099,117.18,255,-0.6021939516067505,3100,60,15500,117.18
