time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
16384,20.73,9,1,20.73,1660,,,,,,,,,,
32768,38.59,44,2,38.59,742,0.263006591796875,0.015301142,0.0002542734146118164,-0.028133302238711622,0.0003,13.29259622124955,10,0.2,-0.6799804299604147,3.425581216812134
49152,66.12,78,3,66.12,624,0.2510009765625,0.020011477,0.39176541566848755,-0.03844534433192166,0.0003,28.467926612496377,20,0.2,-0.636911824438721,13.418383598327637
65536,140.16,109,4,140.16,597,0.16820068359375,0.012589955,0.3762924075126648,-0.026344640874231117,0.0003,42.7592360407114,30,0.2,-0.5892153812339529,16.486663818359375
81920,190.43,140,5,190.43,584,0.13099365234375,0.009868963,0.5058188140392303,-0.0176218908829469,0.0003,36.9122297199443,40,0.2,-0.550930275185965,11.79544448852539
98304,251.34,169,6,251.34,578,0.11524658203125,0.010710841,0.7764088213443756,-0.013224799795352737,0.0003,20.231427617557348,50,0.2,-0.5320345188956708,3.3997373580932617
114688,329.39,199,7,329.39,574,0.108709716796875,0.009389089,0.917018935084343,-0.009171424115993431,0.0003,6.381831540795974,60,0.2,-0.5123278596554883,7.802145004272461
131072,387.18,229,8,387.18,571,0.12398681640625,0.01045383,0.9647921919822693,-0.009999304797929653,0.0003,2.7516709550167433,70,0.2,-0.505758966121357,0.5408007502555847
147456,447.03,259,9,447.03,567,0.10333251953125,0.0071292105,0.9817535355687141,-0.011379272962221876,0.0003,1.517590168566676,80,0.2,-0.4932897613500245,0.4718923270702362
163840,484.57,289,10,484.57,566,0.081689453125,0.0053606173,0.9819882549345493,-0.012440109157796541,0.0003,1.0758588025142672,90,0.2,-0.4604265399742872,0.6582120656967163
180224,498.73,318,11,498.73,565,0.0771728515625,0.006251188,0.93956608325243,-0.006596274463663576,0.0003,0.5700959552632412,100,0.2,-0.4371542016859166,0.28748980164527893
196608,500.0,349,12,500.0,563,0.030865478515625,0.0028822077,0.6372689604759216,-0.0014218069967682823,0.0003,0.4028209540872922,110,0.2,-0.4299247686401941,0.03930678218603134
212992,500.0,378,13,500.0,562,0.018536376953125,0.0016106133,0.09752494096755981,-0.0006159652362839552,0.0003,0.2776072420147102,120,0.2,-0.4211629739147611,0.14946360886096954
229376,500.0,408,14,500.0,561,0.033221435546875,0.0038740975,0.08226978778839111,-0.0011763741040340392,0.0003,0.18868507587903877,130,0.2,-0.4102618402102962,0.03768307343125343
245760,500.0,437,15,500.0,561,0.02716064453125,0.0024367436,0.06136739253997803,-0.0006576876354301931,0.0003,0.12536400359840627,140,0.2,-0.4162973418016918,0.025004856288433075
262144,500.0,467,16,500.0,560,0.02384033203125,0.0028337436,0.03981971740722656,-0.0005741666558606084,0.0003,0.08288463359913294,150,0.2,-0.40862770604435356,0.04640175402164459
278528,500.0,497,17,500.0,560,0.021527099609375,0.0016220438,0.020551323890686035,-0.00032846322465047707,0.0003,0.05614521763895937,160,0.2,-0.402773070265539,0.00941383745521307
294912,500.0,527,18,500.0,558,0.01162109375,0.001378205,0.0189589262008667,0.00026074799716298004,0.0003,0.03507335467177199,170,0.2,-0.4103340903064236,0.005959006957709789
311296,500.0,557,19,500.0,558,0.01973876953125,0.0021357092,0.002081751823425293,-0.00010798405437526526,0.0003,0.024164247670069017,180,0.2,-0.4228893848718144,-0.00017146114259958267
