train/learning_rate,time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/total_timesteps,train/n_updates,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed
0.0001,4,680,101.5,8.384369850158691,406,76,0.9922859999999997,-194.77993375,0
0.0001,8,834,88.25,7.24652099609375,706,151,0.9865860000000003,-192.52514375,0
0.0001,12,934,96.08333333333333,5.977804183959961,1153,263,0.9780929999999998,-217.48599808333336,1
0.0001,16,983,92.875,3.3560545444488525,1486,346,0.9717660000000002,-228.61555018750002,1
0.0001,20,1016,90.25,16.771570205688477,1805,426,0.965705,-212.8413755,1
0.0001,24,1042,93.5,12.609763145446777,2244,535,0.9573639999999995,-237.05600829166667,2
0.0001,28,1059,94.35714285714286,1.2097971439361572,2642,635,0.9498020000000005,-223.1132565714286,2
0.0001,32,1071,92.125,2.165928363800049,2948,711,0.9439879999999999,-210.7344193125,2
0.0001,36,1080,92.86111111111111,0.4523760974407196,3343,810,0.9364830000000003,-206.54047174999997,3
0.0001,40,1087,94.175,1.1217005252838135,3767,916,0.9284269999999997,-208.19637242500002,3
0.0001,44,1093,94.43181818181819,3.2591638565063477,4155,1013,0.9210549999999996,-207.46970168181824,3
0.0001,48,1097,94.39583333333333,3.1658315658569336,4531,1107,0.9139109999999999,-205.50988739583337,4
0.0001,52,1098,94.63461538461539,2.7445921897888184,4921,1205,0.9065009999999998,-202.70946880769236,4
0.0001,56,1101,94.25,5.095345497131348,5278,1294,0.8997179999999999,-197.78773151785714,4
0.0001,60,1103,93.53333333333333,57.509178161621094,5612,1377,0.8933719999999999,-194.8371029333333,5
0.0001,64,1104,93.84375,5.44092321395874,6006,1476,0.8858859999999998,-199.93489682812498,5
0.0001,68,1104,94.97058823529412,8.14682674407959,6458,1589,0.8772979999999997,-200.5995584117647,5
0.0001,72,1104,96.16666666666667,1.6630358695983887,6924,1705,0.8684440000000003,-198.50642140277776,6
0.0001,76,1104,96.90789473684211,10.250910758972168,7365,1816,0.8600649999999999,-194.38864176315786,6
0.0001,80,1104,97.7375,0.008664743043482304,7819,1929,0.8514389999999996,-191.56713232500002,7
