rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
92.0,0,4,0.9930080000000004,368,504,-144.8551905,66,0.0001,4.001777648925781
92.75,1,8,0.9859019999999996,742,570,-143.448273,160,0.0001,1.5187489986419678
97.0,1,12,0.9778840000000001,1164,605,-159.76856975,265,0.0001,3.862839937210083
93.8125,2,16,0.9714810000000005,1501,623,-143.407481,350,0.0001,0.935005784034729
97.55,3,20,0.9629310000000004,1951,634,-144.2794449,462,0.0001,1.0317871570587158
97.45833333333333,3,24,0.9555590000000004,2339,642,-152.736467,559,0.0001,1.1612234115600586
95.75,4,28,0.9490610000000003,2681,644,-160.33154346428572,645,0.0001,0.8033124208450317
96.59375,4,32,0.9412709999999999,3091,649,-153.87550612500002,747,0.0001,0.351718544960022
97.33333333333333,5,36,0.9334239999999998,3504,653,-144.77924494444446,850,0.0001,0.7445888519287109
97.325,5,40,0.9260330000000004,3893,653,-153.82470005,948,0.0001,1.9121601581573486
97.29545454545455,6,44,0.9186610000000004,4281,654,-159.34303486363635,1045,0.0001,4.314204216003418
96.54166666666667,7,48,0.9119539999999995,4634,654,-170.23304429166666,1133,0.0001,1.1674084663391113
96.96153846153847,7,52,0.9042020000000002,5042,655,-173.45689748076921,1235,0.0001,2.5831360816955566
97.35714285714286,8,56,0.8964119999999998,5452,655,-172.58223626785713,1337,0.0001,7.025598526000977
96.4,8,60,0.8901039999999998,5784,655,-175.69079616666664,1420,0.0001,0.7295529842376709
95.890625,9,64,0.883397,6137,655,-177.705033203125,1509,0.0001,1.035754919052124
95.98529411764706,9,68,0.875987,6527,654,-183.83623895588232,1606,0.0001,1.007093906402588
95.76388888888889,10,72,0.8689950000000003,6895,654,-187.79678240277778,1698,0.0001,0.5234938859939575
96.72368421052632,11,76,0.8603310000000001,7351,654,-188.21508985526316,1812,0.0001,3.684448003768921
96.5,11,80,0.85332,7720,655,-190.710864775,1904,0.0001,1.0963382720947266
97.29761904761905,12,84,0.8447130000000003,8173,655,-191.57382395238096,2018,0.0001,0.8619837760925293
