train/n_updates,train/policy_loss,train/value_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,time/fps,train/explained_variance,train/entropy_loss
99,-4.195382595062256,22.86697769165039,500,0,-202.5698838,100,96.6,0.0007,3011,-0.028543829917907715,-1.2722896337509155
199,1.150280475616455,4.843559265136719,1000,0,-235.20793109090903,200,86.0909090909091,0.0007,3037,-0.00543522834777832,-1.1112741231918335
299,3.4659371376037598,15.64514446258545,1500,0,-256.59272919999995,300,95.6,0.0007,3085,-0.017122507095336914,-1.19660222530365
399,6.017063140869141,37.039161682128906,2000,0,-277.0657430555556,400,106.27777777777777,0.0007,3112,0.0007771849632263184,-1.0043033361434937
499,-9.090227127075195,389.97955322265625,2500,0,-303.6682602727273,500,112.0,0.0007,3125,0.00010204315185546875,-1.0942134857177734
599,-15.699336051940918,399.62396240234375,3000,0,-323.4527862692308,600,112.15384615384616,0.0007,3132,-4.172325134277344e-06,-1.2441775798797607
699,-3.9148566722869873,17.09604263305664,3500,1,-320.0602163793104,700,116.41379310344827,0.0007,3141,0.0015115737915039062,-1.062914252281189
799,-13.034833908081055,295.6462097167969,4000,1,-316.73506340625,800,122.34375,0.0007,3146,-1.8477439880371094e-05,-1.0179803371429443
899,5.143004417419434,41.44609832763672,4500,1,-314.6689562571429,900,125.77142857142857,0.0007,3145,-0.0005048513412475586,-0.9802430868148804
999,-6.855826377868652,44.017181396484375,5000,1,-307.95993972222226,1000,129.88888888888889,0.0007,3149,-6.9141387939453125e-06,-0.8515998721122742
1099,-5.123753547668457,16.868606567382812,5500,1,-304.8144775384616,1100,138.51282051282053,0.0007,3150,-0.00012421607971191406,-0.9425361752510071
1199,-17.84281349182129,553.649169921875,6000,1,-296.3868927142857,1200,142.78571428571428,0.0007,3155,-4.8995018005371094e-05,-0.663931667804718
1299,5.026395797729492,18.64566993713379,6500,2,-291.72209349999997,1300,146.0909090909091,0.0007,3153,1.1920928955078125e-05,-0.887000560760498
1399,1.4020183086395264,6.841256141662598,7000,2,-284.54244097826086,1400,150.95652173913044,0.0007,3160,2.0742416381835938e-05,-0.9374980926513672
1499,10.555870056152344,293.9698486328125,7500,2,-277.24312718749997,1500,152.79166666666666,0.0007,3167,-0.00031697750091552734,-0.7677866220474243
1599,5.835572719573975,141.52430725097656,8000,2,-267.3465543137255,1600,155.07843137254903,0.0007,3171,-1.1920928955078125e-06,-0.5727408528327942
1699,2.7837131023406982,6.318687438964844,8500,2,-259.46631099999996,1700,157.11111111111111,0.0007,3171,1.8775463104248047e-05,-1.077276349067688
1799,5.457108020782471,79.01921081542969,9000,2,-257.0690552181818,1800,158.70909090909092,0.0007,3164,0.000179290771484375,-0.6537685394287109
1899,-0.4089633524417877,19.94244384765625,9500,2,-252.88933703508772,1900,163.35087719298247,0.0007,3170,1.71661376953125e-05,-0.3950870633125305
1999,-13.986821174621582,69.45206451416016,10000,3,-248.10793903333334,2000,166.13333333333333,0.0007,3173,6.556510925292969e-07,-0.8123157620429993
2099,0.49458083510398865,22.190696716308594,10500,3,-247.6060165737705,2100,165.8360655737705,0.0007,3175,-7.128715515136719e-05,-0.5873857736587524
2199,-6.463076114654541,42.4422607421875,11000,3,-247.94365588709678,2200,169.51612903225808,0.0007,3176,0.0340656042098999,-1.236189842224121
2299,2.8158388137817383,26.376760482788086,11500,3,-241.1396831904762,2300,180.26984126984127,0.0007,3177,-1.9550323486328125e-05,-0.8034223318099976
2399,-4.134439468383789,87.961669921875,12000,3,-234.7539877230769,2400,181.95384615384614,0.0007,3178,-0.0002332925796508789,-0.5935982465744019
2499,0.12607738375663757,0.5637184381484985,12500,3,-234.74946917910447,2500,183.13432835820896,0.0007,3182,8.183717727661133e-05,-0.5269222259521484
2599,0.14403776824474335,8.347356796264648,13000,4,-226.3780899,2600,185.04285714285714,0.0007,3184,1.6570091247558594e-05,-0.5930159091949463
2699,3.1324474811553955,34.33460998535156,13500,4,-223.14497484722222,2700,184.76388888888889,0.0007,3185,3.170967102050781e-05,-0.6097056865692139
2799,17.33857536315918,1846.1038818359375,14000,4,-220.78761489041096,2800,186.27397260273972,0.0007,3185,-0.0008302927017211914,-0.3231712579727173
2899,1.2316735982894897,1.9372113943099976,14500,4,-220.78761489041096,2900,186.27397260273972,0.0007,3185,0.42910391092300415,-1.234044075012207
2999,-0.6257930397987366,110.65245056152344,15000,4,-216.54720064,3000,197.46666666666667,0.0007,3185,-0.008303642272949219,-0.2795829474925995
3099,-6.572854518890381,59.21638107299805,15500,4,-213.727095,3100,197.17948717948718,0.0007,3186,0.0007225275039672852,-0.8194880485534668
3199,-1.5351024866104126,5.742426872253418,16000,5,-210.104329125,3200,198.075,0.0007,3187,-0.0008438825607299805,-0.8824445605278015
3299,-0.27393031120300293,44.02399444580078,16500,5,-210.104329125,3300,198.075,0.0007,3188,-1.7470061779022217,-1.2175934314727783
3399,-4.532473564147949,89.4721450805664,17000,5,-204.88828030864195,3400,207.96296296296296,0.0007,3190,0.0023064613342285156,-0.1472192406654358
3499,-5.047792911529541,99.90870666503906,17500,5,-199.24787419512194,3500,209.6829268292683,0.0007,3190,-0.006522178649902344,-0.6963338851928711
3599,3.6045310497283936,50.24636459350586,18000,5,-193.55776492941175,3600,210.8235294117647,0.0007,3191,-0.004510760307312012,-0.7163756489753723
3699,-3.3969688415527344,37.52073287963867,18500,5,-192.39066347126433,3700,210.77011494252875,0.0007,3192,0.0022342801094055176,-0.7744368314743042
3799,-1.387229561805725,9.337869644165039,19000,5,-187.88308090909092,3800,214.22727272727272,0.0007,3191,-0.003389716148376465,-0.6664228439331055
3899,-3.7236862182617188,57.8905029296875,19500,6,-186.85171098888893,3900,215.36666666666667,0.0007,3194,0.002896547317504883,-0.691269040107727
3999,9.956247329711914,160.700927734375,20000,6,-187.57005536956524,4000,215.31521739130434,0.0007,3195,-0.003141045570373535,-0.5602076649665833
4099,0.09430764615535736,27.004236221313477,20500,6,-184.1123485157895,4100,215.47368421052633,0.0007,3196,-0.0037026405334472656,-0.08957068622112274
4199,-0.011848920956254005,0.08963099867105484,21000,6,-181.70717014583337,4200,214.88541666666666,0.0007,3198,-0.2834054231643677,-0.641879141330719
4299,-6.100126266479492,20.157852172851562,21500,6,-177.45747692783507,4300,220.88659793814432,0.0007,3198,0.007697939872741699,-0.7529393434524536
4399,-1.57978355884552,6.102752685546875,22000,6,-177.8102952755102,4400,222.51020408163265,0.0007,3200,-0.0007747411727905273,-0.7134320139884949
4499,4.156603813171387,51.83208084106445,22500,7,-177.09782703030302,4500,225.04040404040404,0.0007,3201,-0.16132605075836182,-0.3871924877166748
4599,4.26151704788208,117.47245025634766,23000,7,-175.17301502,4600,225.57,0.0007,3202,-0.002246856689453125,-0.6742812991142273
4699,-1.0321522951126099,7.690494537353516,23500,7,-173.59979723,4700,230.29,0.0007,3202,0.001532912254333496,-0.35938820242881775
4799,0.05376448482275009,51.68977737426758,24000,7,-169.46733577000003,4800,234.14,0.0007,3202,0.013759434223175049,-0.04068130627274513
4899,-0.0032148282043635845,0.023421181365847588,24500,7,-168.07138951000002,4900,235.13,0.0007,3202,-0.007561922073364258,-0.12489001452922821
4999,2.3671586513519287,5.230515956878662,25000,7,-159.03171666000003,5000,240.9,0.0007,3203,-0.002924203872680664,-1.2173030376434326
5099,-12.877243041992188,216.86666870117188,25500,7,-158.82211311,5100,243.94,0.0007,3203,0.06170719861984253,-0.19037964940071106
5199,0.16362588107585907,3.6652183532714844,26000,8,-153.18540397000004,5200,246.21,0.0007,3205,-0.003170490264892578,-0.5310671329498291
5299,4.81047248840332,98.20509338378906,26500,8,-152.49605499,5300,247.94,0.0007,3206,0.00901728868484497,-0.6973351240158081
5399,-2.0738322734832764,25.8909854888916,27000,8,-146.92793367,5400,249.78,0.0007,3206,-0.007385969161987305,-0.5813025236129761
5499,4.806982517242432,103.8424301147461,27500,8,-142.97794899,5500,253.56,0.0007,3207,-0.0013905763626098633,-0.6623622179031372
5599,3.7199161052703857,52.919105529785156,28000,8,-135.67499869000002,5600,256.24,0.0007,3207,-3.710145950317383,-0.6971470713615417
5699,-9.802728652954102,140.009521484375,28500,8,-127.59816743000002,5700,257.17,0.0007,3207,0.20198726654052734,-0.6418858170509338
5799,-0.8438403010368347,4.556209087371826,29000,9,-118.99713984,5800,260.29,0.0007,3208,0.877438597381115,-0.6296364665031433
5899,3.1901695728302,125.45111083984375,29500,9,-112.67297524,5900,262.86,0.0007,3209,-0.03678750991821289,-0.5648019313812256
5999,1.9697802066802979,12.90129566192627,30000,9,-105.32723241,6000,264.36,0.0007,3209,-0.004100680351257324,-1.172764539718628
6099,0.3380447030067444,147.23777770996094,30500,9,-101.79651344,6100,266.68,0.0007,3209,0.38335806131362915,-0.14994153380393982
6199,-0.07393281161785126,4.625843524932861,31000,9,-95.65322966,6200,267.26,0.0007,3209,-0.05404400825500488,-0.45560422539711
6299,-0.08142326772212982,139.90185546875,31500,9,-93.29916827,6300,268.67,0.0007,3209,-2.436872720718384,-0.03876722604036331
6399,1.8983417749404907,15.494369506835938,32000,9,-94.00339122000001,6400,268.85,0.0007,3209,0.0146523118019104,-0.6728663444519043
6499,-0.9319254755973816,3.817457914352417,32500,10,-89.53729634000001,6500,270.6,0.0007,3209,-0.2982001304626465,-0.08561711013317108
6599,1.6974985599517822,9.02161979675293,33000,10,-88.66801231000001,6600,270.09,0.0007,3210,-0.019763708114624023,-0.6024045944213867
6699,-7.4847731590271,83.93535614013672,33500,10,-88.76283974999998,6700,271.61,0.0007,3210,0.3645082712173462,-1.1325702667236328
6799,-2.1807188987731934,23.65896224975586,34000,10,-84.32391181999999,6800,273.84,0.0007,3210,0.05408734083175659,-0.6511620879173279
6899,-0.27591440081596375,2.934307098388672,34500,10,-86.44985344000001,6900,275.7,0.0007,3211,0.31777065992355347,-0.5231209397315979
6999,-6.629910945892334,118.43946838378906,35000,10,-84.10670883,7000,276.23,0.0007,3211,-0.10631096363067627,-0.578597903251648
7099,-6.798033237457275,71.3122329711914,35500,11,-83.29210227,7100,278.72,0.0007,3212,-0.449471116065979,-0.3998467028141022
7199,-5.422841548919678,96.61387634277344,36000,11,-81.53356028,7200,279.55,0.0007,3213,-2.847221851348877,-0.1556069254875183
7299,7.841073036193848,214.52365112304688,36500,11,-83.12480598,7300,280.99,0.0007,3213,-0.7918053865432739,-0.5881558656692505
7399,-5.020885467529297,87.42518615722656,37000,11,-82.05710413999999,7400,279.52,0.0007,3214,0.37929821014404297,-0.7431973218917847
7499,-0.2450215071439743,3.6876296997070312,37500,11,-78.48178610000001,7500,278.21,0.0007,3214,-1.4102425575256348,-0.505304217338562
7599,-1.1809639930725098,11.08902645111084,38000,11,-77.64063299,7600,279.89,0.0007,3214,0.03332418203353882,-0.6534463763237
7699,-2.4053707122802734,11.751211166381836,38500,11,-70.28617832,7700,279.28,0.0007,3214,0.8619967848062515,-0.8092756271362305
7799,0.004688433837145567,15.956225395202637,39000,12,-73.91958412,7800,273.3,0.0007,3214,-46.307613372802734,-0.020687811076641083
