time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction
2048,187,-142.5064278636364,10,1,90.5,,,,,,,,,,
4096,151,-173.2692575116279,27,2,93.86046511627907,603.0228881835938,-0.004727721214294434,0.0003,-0.0021994186157826335,0.003231865,1083.9126795768739,10,0.2,-1.3851575985550881,0.000146484375
6144,142,-172.7205215625,43,3,93.0,504.8449401855469,-0.005265712738037109,0.0003,-0.002889280607632827,0.0029710168,1262.4383010864258,20,0.2,-1.3784857165068387,0.000830078125
8192,137,-163.46161205063294,59,4,102.54430379746836,370.4673767089844,0.006465435028076172,0.0003,-0.012663043712382204,0.012839411,1148.8770699501038,30,0.2,-1.3722818061709403,0.07880859375
10240,135,-158.55233219000002,75,5,101.63,299.1453552246094,0.24433809518814087,0.0003,-0.008377403394842987,0.010040199,434.35985082387924,40,0.2,-1.3631089814007282,0.052001953125
12288,134,-162.30939502,91,6,104.71,124.18545532226562,-0.01278841495513916,0.0003,-0.010065042131463997,0.01074378,466.5617159366608,50,0.2,-1.3333323180675507,0.084423828125
14336,133,-160.21129532999998,107,7,107.78,371.7511291503906,-0.013985276222229004,0.0003,-0.003373843221925199,0.00839418,688.3398843288421,60,0.2,-1.3229137774556876,0.036572265625
16384,134,-149.78384221000005,121,8,113.56,242.44232177734375,-0.0006251335144042969,0.0003,-0.011017494346015155,0.012186887,631.407127571106,70,0.2,-1.2963651310652495,0.097021484375
18432,136,-144.26182310000002,134,9,107.23,221.31695556640625,-0.012313008308410645,0.0003,-0.005827527487417683,0.0097971745,504.9201498031616,80,0.2,-1.294516981765628,0.1033203125
20480,137,-134.66621116000002,148,10,107.97,89.44833374023438,-9.5367431640625e-07,0.0003,-0.012250845041126012,0.012217884,217.34703774452208,90,0.2,-1.2867666073143482,0.115869140625
22528,138,-120.1439565,162,11,112.24,193.3092041015625,-0.002213716506958008,0.0003,-0.007375522803340573,0.006922836,370.9498305797577,100,0.2,-1.2592587679624558,0.06376953125
24576,139,-112.55443628999997,176,12,113.87,116.80599212646484,-1.0013580322265625e-05,0.0003,-0.007849133502168116,0.011524944,316.66944999694823,110,0.2,-1.2403137691318988,0.034130859375
26624,139,-109.33527706,190,13,118.49,271.521240234375,-0.0002657175064086914,0.0003,-0.005951563027338125,0.0076238755,540.2360311985016,120,0.2,-1.17135324254632,0.050634765625
28672,140,-105.62673012,204,14,127.43,171.96669006347656,-7.390975952148438e-05,0.0003,-0.004161954671144485,0.008503203,581.6043944358826,130,0.2,-1.158164281770587,0.097705078125
30720,140,-100.11614472000001,218,15,135.36,135.8001708984375,-2.3365020751953125e-05,0.0003,-0.005834042729111389,0.00853335,182.0573634147644,140,0.2,-1.1317902624607086,0.0236328125
32768,140,-96.5731225,232,16,142.94,140.6689453125,-6.0439109802246094e-05,0.0003,-0.004539988274336793,0.006492751,363.96710753440857,150,0.2,-1.1097379930317401,0.024951171875
34816,139,-92.83027709,250,17,161.34,147.93743896484375,-4.100799560546875e-05,0.0003,-0.004330344995833002,0.008660797,249.20299525260924,160,0.2,-1.159946482628584,0.040771484375
36864,139,-86.50145060999999,263,18,177.82,55.10277557373047,0.000410616397857666,0.0003,-0.004062934839748777,0.007825662,158.02001383304597,170,0.2,-1.2467753611505032,0.023974609375
38912,139,-83.51355081,277,19,191.57,78.9138412475586,0.004370272159576416,0.0003,-0.006007126069744117,0.008463824,195.95996084213257,180,0.2,-1.152310122177005,0.030517578125
40960,139,-80.44884462,293,20,205.46,64.41510772705078,0.09182637929916382,0.0003,-0.0028113469568779694,0.0054596113,176.5577604293823,190,0.2,-1.177113926783204,0.009912109375
43008,139,-77.76412953,309,21,221.4,71.22986602783203,0.1781001091003418,0.0003,-0.006519762371317484,0.009072081,157.93734993934632,200,0.2,-1.1131767753511668,0.059765625
45056,139,-80.09958149,323,22,233.77,32.257781982421875,0.2776110768318176,0.0003,-0.006392537323699798,0.006072536,112.10132027864456,210,0.2,-1.1153722025454045,0.055224609375
47104,139,-81.30843326,338,23,246.59,90.80902862548828,0.3498331308364868,0.0003,-0.006132146404706873,0.0044875154,249.16472427845002,220,0.2,-1.054786136560142,0.010791015625
49152,139,-82.10974281,353,24,259.41,84.55040740966797,0.3985055088996887,0.0003,-0.004868807355524041,0.0066893105,155.66229584217072,230,0.2,-1.1097663812339307,0.0228515625
51200,138,-77.77081691999999,368,25,280.06,67.77000427246094,0.5475384294986725,0.0003,-0.006846373883308843,0.0056201494,142.96611186265946,240,0.2,-1.148510207235813,0.06064453125
53248,138,-73.88324963999999,383,26,293.99,133.88018798828125,0.21457499265670776,0.0003,-0.011166765392408707,0.008772665,282.3645494222641,250,0.2,-1.110391453281045,0.071728515625
55296,139,-70.35290024,396,27,309.27,36.28942108154297,0.577748030424118,0.0003,-0.006924805152812042,0.007992109,104.27886242866516,260,0.2,-1.038014600612223,0.04931640625
