time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range
1,2048,637,-178.65595072727274,3,90.86363636363636,,,,,,,,,,
2,4096,520,-168.41717404651163,7,93.32558139534883,0.007996144,482.3626403808594,0.025927734375,0.0003,-1.382567971199751,0.00011718273162841797,-0.00558120335044805,1291.9771169662476,10,0.2
3,6144,461,-163.21095001587304,13,96.14285714285714,0.005616248,355.5133361816406,0.0166015625,0.0003,-1.3697010722011327,-0.02483236789703369,-0.0055441181786591185,923.650101184845,20,0.2
4,8192,453,-165.66371386904763,18,97.01190476190476,0.0072393706,767.0569458007812,0.027880859375,0.0003,-1.3605993781238794,-0.017726898193359375,-0.006850215603481047,995.6236388206482,30,0.2
5,10240,441,-157.21596861,23,98.99,0.007562991,264.4123229980469,0.066552734375,0.0003,-1.3234212540090085,-0.003828883171081543,-0.010753150848904625,685.2705883026123,40,0.2
6,12288,437,-149.53473599,28,99.99,0.011105318,335.32208251953125,0.04580078125,0.0003,-1.3272586937993764,-0.0009132623672485352,-0.005331714896601625,471.8885242462158,50,0.2
7,14336,437,-138.95324082000002,32,104.24,0.0074852277,253.44683837890625,0.0671875,0.0003,-1.2677828457206488,-0.0020568370819091797,-0.009670739923603833,558.2642877578735,60,0.2
8,16384,430,-130.2287215,38,110.06,0.010947101,177.9166259765625,0.1169921875,0.0003,-1.2434433050453664,-0.0016063451766967773,-0.007491754116199445,250.90176475048065,70,0.2
9,18432,429,-120.97555488999998,42,114.93,0.008668685,249.355224609375,0.030224609375,0.0003,-1.2336525801569223,-0.06100356578826904,-0.004227778839413077,591.3902705192565,80,0.2
10,20480,423,-103.49885204,48,120.5,0.008539148,203.580810546875,0.09892578125,0.0003,-1.2090699568390846,-6.67572021484375e-06,-0.00983060868747998,318.432443857193,90,0.2
11,22528,422,-98.19580755999999,53,126.73,0.01324795,122.68621063232422,0.052294921875,0.0003,-1.1881902370601893,6.562471389770508e-05,-0.005055149327381514,282.8922764778137,100,0.2
12,24576,420,-91.72089072000003,58,138.67,0.009141114,172.5428009033203,0.068994140625,0.0003,-1.1369554210454225,-1.0132789611816406e-05,-0.007589846084010787,270.4663811206818,110,0.2
13,26624,408,-86.64111465999999,65,151.39,0.009838313,124.08354187011719,0.0490234375,0.0003,-1.1104721881449222,-4.00543212890625e-05,-0.005557902311556973,196.15168149471282,120,0.2
14,28672,406,-84.43875909999998,70,166.23,0.008332848,51.671852111816406,0.042431640625,0.0003,-1.2018444068729877,0.0015606880187988281,-0.00551710094732698,156.94070813655853,130,0.2
15,30720,404,-82.51478444,75,178.11,0.0030906766,97.83968353271484,0.007568359375,0.0003,-1.1058071147650481,-0.05671823024749756,-0.0042553354214760475,312.0455988407135,140,0.2
16,32768,400,-80.65246179,81,185.5,0.0055952203,142.76193237304688,0.04833984375,0.0003,-1.0761853598058224,0.12075835466384888,-0.006478106594295241,383.8394649028778,150,0.2
17,34816,397,-81.07696065,87,204.05,0.0037140981,56.95615768432617,0.004931640625,0.0003,-1.1465910334140061,0.2768614888191223,-0.0032220521214185284,132.04176459312438,160,0.2
18,36864,394,-73.08857153,93,214.42,0.0077963276,100.8750228881836,0.078125,0.0003,-1.1084948044270277,0.22401469945907593,-0.009474768213112838,289.7743782281876,170,0.2
19,38912,393,-67.01807742,98,219.91,0.0049499953,62.95073318481445,0.03056640625,0.0003,-1.1681063938885927,0.35971182584762573,-0.0051049650326604025,185.56820588111879,180,0.2
20,40960,393,-60.32187037,104,227.5,0.00930552,90.70362854003906,0.030615234375,0.0003,-1.0651841282844543,0.2633780837059021,-0.006859258371696342,226.8794542312622,190,0.2
21,43008,384,-56.72076703,111,246.31,0.0047554774,70.69270324707031,0.0169921875,0.0003,-1.0707188285887241,0.3985291123390198,-0.006371274545381311,206.0633909702301,200,0.2
22,45056,384,-62.11470111,117,258.41,0.014366259,45.16099166870117,0.171533203125,0.0003,-1.2171820875257253,0.6393620073795319,-0.012341657621436752,81.87258504033089,210,0.2
