train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
99,0.1833653748035431,3,0.9970731735229492,100,800,-0.8616758584976196,-5.662886619567871,246,-1.6643271446228027,0.00096,,
199,0.019510112702846527,5,0.9944877624511719,200,1600,-0.31810295581817627,-5.651675224304199,279,-0.25922614336013794,0.00096,1600.0,-101.46426
299,0.0020772600546479225,7,0.9853447079658508,300,2400,0.5282124876976013,-5.61638069152832,301,-0.15973736345767975,0.00096,1600.0,-101.46426
399,0.03699614107608795,10,0.9777607917785645,400,3200,0.026745259761810303,-5.588072299957275,306,0.7670369744300842,0.00096,1600.0,-96.6194685
499,0.015436451882123947,12,0.9588264226913452,500,4000,0.046608805656433105,-5.511473655700684,307,-0.05958670377731323,0.00096,1600.0,-96.6194685
599,0.6629441976547241,15,0.9438143968582153,600,4800,-0.013114571571350098,-5.446269989013672,307,-4.587353229522705,0.00096,433.8181818181818,-106.62175463636363
699,0.042680319398641586,17,0.9396026134490967,700,5600,-0.10804963111877441,-5.427878379821777,311,0.27320408821105957,0.00096,317.47058823529414,-107.66757364705882
799,0.00472488347440958,20,0.9333063364028931,800,6400,-1.7654366493225098,-5.400793075561523,314,-0.07260142266750336,0.00096,317.47058823529414,-107.66757364705882
899,0.0038452227599918842,22,0.9146931171417236,900,7200,-0.22280752658843994,-5.31767463684082,316,0.1647619605064392,0.00096,388.72222222222223,-108.86592283333333
999,0.028345856815576553,25,0.9083912968635559,1000,8000,-0.26028692722320557,-5.290386199951172,310,0.6660101413726807,0.00096,388.72222222222223,-108.86592283333333
1099,0.04783117026090622,28,0.9050232172012329,1100,8800,-0.12153851985931396,-5.275312423706055,306,-0.862845242023468,0.00096,396.8181818181818,-109.83496736363635
1199,0.11751054972410202,31,0.9046759009361267,1200,9600,-3.960728645324707,-5.270928859710693,302,1.865286111831665,0.00096,371.625,-110.02334858333334
1299,0.00415737833827734,34,0.8954678773880005,1300,10400,-7.581842422485352,-5.235052108764648,299,0.10412623733282089,0.00096,371.625,-110.02334858333334
1399,0.0055012027733027935,37,0.8881757259368896,1400,11200,0.2692127823829651,-5.2019853591918945,297,0.1861490160226822,0.00096,420.76,-109.38381636
1499,0.025049159303307533,41,0.8753888607025146,1500,12000,-0.009948968887329102,-5.1430745124816895,290,-0.6285740733146667,0.00096,420.76,-109.38381636
1599,0.006074483972042799,44,0.8660162091255188,1600,12800,-0.1294018030166626,-5.098025798797607,285,0.27433958649635315,0.00096,452.0,-109.70122877777777
1699,0.026608282700181007,48,0.8578080534934998,1700,13600,0.6044464707374573,-5.060455799102783,280,0.01369909942150116,0.00096,438.5483870967742,-110.28694954838708
1799,0.00811077281832695,52,0.8571848273277283,1800,14400,-0.6604630947113037,-5.059715270996094,276,0.04111424461007118,0.00096,417.57575757575756,-109.71924457575757
1899,0.029465189203619957,55,0.8494673371315002,1900,15200,-0.17076122760772705,-5.019550800323486,273,0.6542862057685852,0.00096,417.57575757575756,-109.71924457575757
1999,3014.093017578125,59,0.8409407138824463,2000,16000,-0.025374412536621094,-4.979474067687988,270,-150.24913024902344,0.00096,389.9268292682927,-110.16610585365854
2099,0.005646153353154659,62,0.8423157930374146,2100,16800,0.27585679292678833,-4.987187385559082,268,0.3155381977558136,0.00096,358.7391304347826,-109.07357404347826
2199,0.010565588250756264,66,0.8438283205032349,2200,17600,0.276528000831604,-4.990311622619629,266,-0.31506937742233276,0.00096,358.7391304347826,-109.07357404347826
2299,0.03118794783949852,69,0.8420292139053345,2300,18400,-1.7200610637664795,-4.985350608825684,264,-0.16043326258659363,0.00096,351.7692307692308,-109.75945171153846
2399,3428.6005859375,73,0.8309930562973022,2400,19200,0.00918424129486084,-4.931741714477539,262,-182.07981872558594,0.00096,336.63157894736844,-109.12595298245614
