time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/std
512,1,50,10,,,,,,,,,,,,,
1024,2,42,24,0.992215695977211,0.4231122136116028,-59.044369,-0.025370359420776367,0.0056845355,-0.005584539216943085,1000.0,0.2,-4.257147192955017,0.0001,0.039453125,10,1.0003151893615723
1536,3,42,35,0.9815006718039513,0.3440285325050354,-59.044369,0.07793790102005005,0.00083168864,-0.0008282083319500089,1000.0,0.2,-4.257239603996277,0.0001,0.0,20,0.9995571970939636
2048,4,42,47,0.8434455990791321,0.3501279056072235,-58.688851,5.662441253662109e-06,0.008412205,-0.005654411925934255,1000.0,0.2,-4.254262042045593,0.0001,0.0279296875,30,0.9989138841629028
2560,5,43,58,0.8849807411432267,0.27422499656677246,-58.688851,0.10858869552612305,0.0059818686,-0.0036305377492681147,1000.0,0.2,-4.252985143661499,0.0001,0.0091796875,40,0.9984538555145264
3072,6,43,70,0.8238191798329353,0.4940876066684723,-62.078611,-9.655952453613281e-06,0.002718714,-0.0006317545543424785,1000.0,0.2,-4.251486051082611,0.0001,0.001953125,50,0.9980441331863403
3584,7,43,81,0.6906521521508694,0.11484195291996002,-62.078611,0.41776353120803833,0.0024648716,-0.007209514966234565,1000.0,0.2,-4.250370573997498,0.0001,0.00390625,60,0.9975454807281494
4096,8,44,92,0.8595528081059456,0.34308695793151855,-64.229968,-0.0020318031311035156,0.010323064,-0.0066735480912029745,1000.0,0.2,-4.248263657093048,0.0001,0.068359375,70,0.9964913129806519
4608,9,44,103,0.46738619953393934,0.10410512238740921,-64.229968,0.36117786169052124,0.0008679364,-0.00043853698298335075,1000.0,0.2,-4.245992624759674,0.0001,0.0,80,0.996616780757904
5120,10,43,117,0.7057023614645004,0.3766902685165405,-66.0683598,1.3113021850585938e-06,0.00576578,-0.0036181333707645535,1000.0,0.2,-4.248658454418182,0.0001,0.026171875,90,0.9981476664543152
