time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
1,80,4096,50,,,,,,,,,,,,
2,79,8192,102,1000.0,0.3564673364162445,-48.65145975,0.0003,0.9006902575492859,0.2,0.1156494140625,10,-0.010256440727971494,-0.022148489952087402,-1.5996201545000077,0.014825112
3,77,12288,158,1000.0,0.42749878764152527,-48.65145975,0.0003,0.97120600938797,0.2,0.076171875,20,-0.00697415613103658,0.07378524541854858,-1.5872042417526244,0.013343731
4,73,16384,221,1000.0,0.6111496686935425,-32.8242566875,0.0003,1.2594387859106064,0.2,0.1103759765625,30,-0.009614545467775315,7.027387619018555e-05,-1.5510639935731887,0.013669176
5,69,20480,295,1000.0,0.629007875919342,-32.8242566875,0.0003,1.4878685086965562,0.2,0.118701171875,40,-0.008317490736953915,0.045745015144348145,-1.4973732382059097,0.012464339
6,67,24576,366,1000.0,0.7812991738319397,-30.789035333333334,0.0003,1.8931702822446823,0.2,0.07685546875,50,-0.006086147471796722,0.15677940845489502,-1.433492824435234,0.014848835
7,66,28672,432,1000.0,0.3143129050731659,-30.789035333333334,0.0003,1.1042828679084777,0.2,2.44140625e-05,60,-0.00039251307025551797,0.3832513093948364,-1.3966342151165008,0.00069076556
8,65,32768,499,1000.0,0.799396812915802,-25.787708156249998,0.0003,3.0577250897884367,0.2,0.0,70,-0.0009169353696051985,0.5764467418193817,-1.3895478963851928,0.00062028965
9,64,36864,569,1000.0,0.3821633756160736,-25.787708156249998,0.0003,1.3688340917229653,0.2,0.002490234375,80,-0.0007170942728407681,0.793827548623085,-1.3952662110328675,0.0010288905
10,64,40960,633,999.475,0.7197374105453491,-26.354478375000003,0.0003,2.297703206539154,0.2,0.0,90,-0.00041631964850239454,0.8553146868944168,-1.3580952048301698,0.00038554007
11,63,45056,704,999.475,9.596632957458496,-26.354478375000003,0.0003,19.71500507593155,0.2,0.021044921875,100,-0.002480928471777588,0.41646188497543335,-1.419633936882019,0.0018487407
12,63,49152,770,998.8333333333334,0.5401568412780762,-28.775804291666663,0.0003,1.084495210647583,0.2,0.0,110,-0.000245455838739872,0.9538469947874546,-1.3405592560768127,0.00044052277
13,63,53248,836,991.8775510204082,14.305121421813965,-30.0311993877551,0.0003,24.40365312099457,0.2,0.004052734375,120,-0.004584546771366149,0.5938511192798615,-1.3220651596784592,0.0004898891
14,63,57344,905,982.8392857142857,8.537361145019531,-32.13411682142857,0.0003,19.409231233596802,0.2,0.018505859375,130,-0.0008210257685277611,0.5798951089382172,-1.3508797645568849,0.0008011418
15,63,61440,972,968.9830508474577,29.5261173248291,-33.73874140677966,0.0003,51.71508550643921,0.2,0.0120361328125,140,-0.002201127866283059,0.6018399000167847,-1.3833442777395248,0.0023749243
16,62,65536,1044,971.40625,13.33958911895752,-33.129463125,0.0003,37.14504971504211,0.2,0.0044921875,150,-0.004561976972036063,0.3469506502151489,-1.3254051834344864,0.0006958911
