time/fps,train/value_loss,train/entropy_loss,time/total_timesteps,train/n_updates,train/learning_rate,train/policy_loss,train/std,train/explained_variance,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
72,7.460175402229652e-05,-4.215453624725342,4000,99,0.0007,-0.03373904153704643,0.9862896800041199,0.0,100,55,,
68,1.4889121302985586e-05,-4.202876567840576,8000,199,0.0007,-0.014854821376502514,0.9821824431419373,2.0563602447509766e-05,200,117,1000.0,-73.26799912499999
65,3.0074218102527084e-06,-4.184849739074707,12000,299,0.0007,-0.0064183371141552925,0.9763084650039673,0.00014072656631469727,300,182,1000.0,-73.26799912499999
63,5.810386483062757e-07,-4.18324613571167,16000,399,0.0007,-0.0028855015989392996,0.9758023023605347,7.987022399902344e-06,400,251,1000.0,-77.0897665
62,1.5936047930154018e-05,-4.1504716873168945,20000,499,0.0007,-0.014950140379369259,0.9652674198150635,8.022785186767578e-05,500,322,1000.0,-77.0897665
60,0.00018439364794176072,-4.150289535522461,24000,599,0.0007,-0.0492018423974514,0.9652034640312195,2.3424625396728516e-05,600,394,1000.0,-72.43091712500001
60,2.8559676138684154e-05,-4.154122829437256,28000,699,0.0007,-0.01973009668290615,0.9664151072502136,0.0,700,466,1000.0,-72.43091712500001
58,4.213793999952031e-06,-4.156440258026123,32000,799,0.0007,-0.007502710912376642,0.9671456217765808,8.940696716308594e-07,800,543,1000.0,-71.030502875
58,4.410243855090812e-05,-4.155633449554443,36000,899,0.0007,-0.025105446577072144,0.9668811559677124,0.0,900,620,1000.0,-71.030502875
57,0.00020382669754326344,-4.14509391784668,40000,999,0.0007,-0.055117543786764145,0.9634701609611511,0.0,1000,692,1000.0,-70.51510909999999
57,0.0002629180089570582,-4.13369083404541,44000,1099,0.0007,-0.06039125472307205,0.9598695635795593,0.0,1100,766,1000.0,-70.51510909999999
57,3.236678458051756e-05,-4.1288299560546875,48000,1199,0.0007,-0.020367318764328957,0.9583680033683777,0.0,1200,841,1000.0,-67.364046625
56,0.0014690363314002752,-4.098456859588623,52000,1299,0.0007,-0.14895610511302948,0.9486120939254761,-2.384185791015625e-07,1300,918,1000.0,-67.364046625
56,0.0001632693165447563,-4.080005168914795,56000,1399,0.0007,-0.047445960342884064,0.9429168105125427,0.0,1400,986,991.5,-67.16995823214286
56,2.5111030481639318e-05,-4.058473587036133,60000,1499,0.0007,-0.01913369633257389,0.9362521171569824,2.980232238769531e-07,1500,1058,991.5,-67.16995823214286
56,0.00014008347352501005,-4.069180488586426,64000,1599,0.0007,-0.03864074498414993,0.9397308230400085,0.0,1600,1127,992.5625,-67.878743171875
