rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
16.75,18895,67,16.75,0,4,0.8980346666666665,,,
16.25,1010,130,16.25,0,8,0.8961866666666671,7,0.001,0.439860463142395
19.0,1360,228,19.0,0,12,0.8933120000000002,31,0.001,0.0607307031750679
17.1875,1465,275,17.1875,0,16,0.8919333333333332,43,0.001,0.03820093348622322
20.05,1680,401,20.05,0,20,0.8882373333333334,75,0.001,0.012365278787910938
19.583333333333332,1758,470,19.583333333333332,0,24,0.886213333333333,92,0.001,0.005949166137725115
19.214285714285715,1794,538,19.214285714285715,0,28,0.8842186666666668,109,0.001,0.0015214779414236546
19.625,1876,628,19.625,0,32,0.8815786666666672,131,0.001,0.0003133612626697868
20.083333333333332,1918,723,20.083333333333332,0,36,0.8787919999999998,155,0.001,0.0002495023072697222
19.8,1917,792,19.8,0,40,0.8767680000000002,172,0.001,0.00048016736400313675
19.636363636363637,1939,864,19.636363636363637,0,44,0.8746560000000001,190,0.001,0.000271685334155336
19.666666666666668,1968,944,19.666666666666668,0,48,0.8723093333333337,210,0.001,0.0002545313909649849
19.596153846153847,1987,1019,19.596153846153847,0,52,0.870109333333333,229,0.001,0.000183335694600828
19.75,2017,1106,19.75,0,56,0.8675573333333338,251,0.001,0.0002223742485512048
19.65,2038,1179,19.65,0,60,0.8654160000000001,269,0.001,0.00022525296662934124
19.59375,2055,1254,19.59375,0,64,0.8632160000000003,288,0.001,0.00044637173414230347
19.397058823529413,2067,1319,19.397058823529413,0,68,0.8613093333333329,304,0.001,0.0001136715363827534
19.319444444444443,2050,1391,19.319444444444443,0,72,0.8591973333333337,322,0.001,0.00019071759015787393
19.42105263157895,2068,1476,19.42105263157895,0,76,0.8567039999999997,343,0.001,0.0001650370395509526
19.3125,2081,1545,19.3125,0,80,0.8546800000000001,361,0.001,0.00021214588196016848
19.416666666666668,2098,1631,19.416666666666668,0,84,0.8521573333333335,382,0.001,0.0002060748520307243
19.329545454545453,2106,1701,19.329545454545453,0,88,0.8501040000000004,400,0.001,0.00021016185928601772
19.25,2117,1771,19.25,0,92,0.8480506666666664,417,0.001,0.00011052888294216245
19.239583333333332,2126,1847,19.239583333333332,0,96,0.8458213333333331,436,0.001,0.00016373892140109092
19.12,2136,1912,19.12,0,100,0.8439146666666666,452,0.001,0.00012844512821175158
19.51,2147,2018,19.51,0,104,0.8408053333333334,479,0.001,0.00010515694157220423
19.41,2152,2071,19.41,0,108,0.8392506666666664,492,0.001,7.308589556487277e-05
19.54,2153,2182,19.54,1,112,0.8359946666666666,520,0.001,0.00015661405632272363
20.37,2173,2312,20.37,1,116,0.8321813333333336,552,0.001,0.00020161068823654205
19.84,2163,2385,19.84,1,120,0.8300399999999999,571,0.001,0.00018619970069266856
19.98,2173,2468,19.98,1,124,0.827605333333333,591,0.001,0.00031951387063600123
20.02,2180,2540,20.02,1,128,0.8254933333333337,609,0.001,0.0001305613259319216
20.36,2186,2664,20.36,1,132,0.821856,640,0.001,0.00018456068937666714
20.29,2185,2752,20.29,1,136,0.8192746666666664,662,0.001,0.00011926542356377468
21.37,2199,2929,21.37,1,140,0.8140826666666666,707,0.001,5.1460017857607454e-05
21.45,2204,3009,21.45,1,144,0.8117360000000001,727,0.001,7.677840767428279e-05
21.29,2205,3073,21.29,1,148,0.8098586666666663,743,0.001,0.00024687667610123754
21.62,2200,3181,21.62,1,152,0.806690666666667,770,0.001,0.0001281724835280329
21.55,2199,3261,21.55,1,156,0.8043439999999996,790,0.001,0.00016189076995942742
21.64,2202,3343,21.64,1,160,0.8019386666666671,810,0.001,0.00013444843352772295
21.98,2202,3452,21.98,1,164,0.7987413333333334,837,0.001,0.00010479945922270417
22.22,2202,3541,22.22,1,168,0.7961306666666662,860,0.001,8.471186447422951e-05
22.12,2205,3603,22.12,1,172,0.7943120000000004,875,0.001,0.0002345252869417891
22.4,2197,3716,22.4,1,176,0.7909973333333334,903,0.001,9.625522216083482e-05
22.65,2197,3810,22.65,1,180,0.7882399999999996,927,0.001,0.00010759599535958841
22.58,2200,3889,22.58,1,184,0.7859226666666668,947,0.001,0.00018317910144105554
22.71,2204,3972,22.71,1,188,0.7834879999999997,967,0.001,0.00013486343959812075
22.88,2198,4059,22.88,1,192,0.7809359999999996,989,0.001,0.0001170099203591235
23.3,2206,4177,23.3,1,196,0.7774746666666671,1019,0.001,0.00014897015353199095
23.53,2208,4265,23.53,1,200,0.7748933333333334,1041,0.001,0.00015733666077721864
23.1,2213,4328,23.1,1,204,0.7730453333333331,1056,0.001,0.0001441167842131108
23.44,2221,4415,23.44,1,208,0.770493333333333,1078,0.001,7.597488001920283e-05
23.08,2226,4490,23.08,2,212,0.7682933333333333,1097,0.001,0.00013349976507015526
22.44,2226,4556,22.44,2,216,0.7663573333333332,1113,0.001,0.00013037220924161375
22.29,2228,4614,22.29,2,220,0.7646560000000004,1128,0.001,0.00011831909068860114
22.67,2234,4735,22.67,2,224,0.7611066666666664,1158,0.001,0.00028052550624124706
23.18,2239,4858,23.18,2,228,0.7574986666666672,1189,0.001,0.00014974262739997357
22.73,2236,4937,22.73,2,232,0.7551813333333333,1209,0.001,0.0002004645357374102
22.76,2237,5028,22.76,2,236,0.7525120000000001,1231,0.001,0.00013203007983975112
21.65,2237,5094,21.65,2,240,0.7505760000000001,1248,0.001,0.00020229382789693773
21.52,2234,5161,21.52,2,244,0.7486106666666665,1265,0.001,0.00016176817007362843
21.77,2235,5250,21.77,2,248,0.7460000000000004,1287,0.001,9.659974602982402e-05
22.41,2238,5422,22.41,2,252,0.7409546666666662,1330,0.001,9.233728633262217e-05
22.64,2242,5525,22.64,2,256,0.7379333333333337,1356,0.001,0.00014862779062241316
