rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate
22.36,8192,22.36,2343,3,1,,,,,,,,,,
34.21,16384,34.21,1159,14,2,0.19910888671875,0.014281342,0.2,20.607432170584797,-0.6819350779987872,3.565448760986328,-0.0034738779067993164,-0.023348801949032348,10,0.0003
70.98,24576,70.98,1052,23,3,0.2005615234375,0.017705288,0.2,26.190077951550485,-0.6462389761116356,11.35770034790039,0.39929044246673584,-0.03453794211018248,20,0.0003
114.01,32768,114.01,985,33,4,0.15118408203125,0.01114738,0.2,44.49814518988133,-0.5971113929059356,13.853297233581543,0.4014487862586975,-0.0268925469063106,30,0.0003
167.83,40960,167.83,901,45,5,0.1053955078125,0.008603994,0.2,42.91524172648788,-0.5592129188589752,14.342880249023438,0.4196290969848633,-0.015955432364353327,40,0.0003
230.38,49152,230.38,851,57,6,0.1230712890625,0.015870148,0.2,22.42701854603365,-0.5188980638748035,5.83859920501709,0.6721212267875671,-0.01466008704919659,50,0.0003
289.2,57344,289.2,794,72,7,0.09967041015625,0.0071295956,0.2,5.95553893763572,-0.5045327621279284,1.1596570014953613,0.8737883865833282,-0.0069281734140531626,60,0.0003
345.07,65536,345.07,769,85,8,0.0414794921875,0.004461361,0.2,4.687360406597145,-0.49943778447341175,0.5975369215011597,0.8891144618391991,-0.0035685826405824628,70,0.0003
403.19,73728,403.19,740,99,9,0.03394775390625,0.0027751722,0.2,3.6287227334454655,-0.4733516074251384,1.2338203191757202,0.8256206810474396,-0.0034444349068508016,80,0.0003
440.38,81920,440.38,723,113,10,0.0756591796875,0.004691371,0.2,1.3019744670426008,-0.4724125220673159,0.42101383209228516,0.8214806318283081,-0.005146196335408604,90,0.0003
476.33,90112,476.33,710,126,11,0.01419677734375,0.0020295237,0.2,1.0001824441977079,-0.4693662391509861,0.31474968791007996,0.010087847709655762,-0.00010482535217306576,100,0.0003
491.21,98304,491.21,695,141,12,0.01739501953125,0.0028204967,0.2,0.7366062168715871,-0.46721762586385013,0.3674274981021881,0.03139573335647583,-0.0007122922237613238,110,0.0003
496.05,106496,496.05,688,154,13,0.01700439453125,0.0025086298,0.2,0.46925020006019624,-0.4668235518038273,0.11718574911355972,0.042877376079559326,-8.818598216748796e-05,120,0.0003
