time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
799,2048,1,2,23.49425287356322,23.49425287356322,,,,,,,,,,
613,4096,2,6,25.54,25.54,-0.015510554180946202,7.877070426940918,0.2,-0.0019037723541259766,10,0.0003,-0.6866020353510975,57.57018221616745,0.008120796,0.097412109375
574,6144,3,10,36.29,36.29,-0.019523111074522603,14.870415687561035,0.2,0.07118755578994751,20,0.0003,-0.6624718410894275,36.49193778038025,0.010740997,0.07783203125
569,8192,4,14,50.74,50.74,-0.016637089524010662,24.026445388793945,0.2,0.21171629428863525,30,0.0003,-0.6382751287892461,58.87410198450088,0.009543307,0.072705078125
573,10240,5,17,66.36,66.36,-0.01113576207717415,20.366689682006836,0.2,0.27663588523864746,40,0.0003,-0.6138323210179806,63.99650599956512,0.006153811,0.04697265625
576,12288,6,21,84.38,84.38,-0.01003780322644161,14.106273651123047,0.2,0.3774520754814148,50,0.0003,-0.5894205844029784,65.42295897603034,0.0054925056,0.035498046875
579,14336,7,24,101.07,101.07,-0.007659882705775089,9.03109073638916,0.2,0.6124764084815979,60,0.0003,-0.5990817928686738,47.91071942150593,0.004563153,0.0521484375
575,16384,8,28,118.15,118.15,-0.007030239223968238,9.813260078430176,0.2,0.7926129698753357,70,0.0003,-0.5876030357554555,38.10686933547258,0.006630273,0.04521484375
556,18432,9,33,134.49,134.49,-0.009289621727657505,20.79599380493164,0.2,0.7725212424993515,80,0.0003,-0.5746388271450996,44.01880747973919,0.0054251407,0.054833984375
531,20480,10,38,153.04,153.04,-0.007971954520326108,55.933143615722656,0.2,0.009605109691619873,90,0.0003,-0.5588346151635051,77.06332315504551,0.0041253907,0.044482421875
516,22528,11,43,170.56,170.56,-0.00507089035527315,21.904943466186523,0.2,0.49078822135925293,100,0.0003,-0.5527202255092561,39.16438203006983,0.006226578,0.034521484375
508,24576,12,48,187.79,187.79,-0.004281940635701175,41.98556137084961,0.2,0.12753760814666748,110,0.0003,-0.5379618875682354,39.501252102851865,0.0054464824,0.03740234375
502,26624,13,52,202.86,202.86,-0.004020606263657101,7.851577281951904,0.2,0.8969547376036644,120,0.0003,-0.5725340681150556,15.985958717763424,0.0033417982,0.03095703125
496,28672,14,57,220.13,220.13,-0.006426333739364054,10.434285163879395,0.2,0.8217118978500366,130,0.0003,-0.5561626963317394,45.110474447906014,0.0070906878,0.0486328125
485,30720,15,63,237.11,237.11,-0.005212676859810017,30.82727813720703,0.2,0.7542804032564163,140,0.0003,-0.5392908224835992,35.638454116880894,0.006507826,0.072607421875
472,32768,16,69,254.6,254.6,-0.006727018796664197,18.05454444885254,0.2,0.3612925410270691,150,0.0003,-0.5234286815859377,33.683755116909744,0.004130356,0.049560546875
462,34816,17,75,270.75,270.75,-0.010080894890415948,0.15617376565933228,0.2,0.7905651479959488,160,0.0003,-0.5160425648093223,1.2903474829858168,0.016328404,0.187744140625
454,36864,18,81,286.42,286.42,-0.010706489393487572,2.3161535263061523,0.2,0.8449240922927856,170,0.0003,-0.5279546298086644,8.293934963271022,0.008868177,0.07568359375
439,38912,19,88,303.32,303.32,-0.011003003874793648,0.2172330617904663,0.2,0.6276136040687561,180,0.0003,-0.5147474114783108,0.608133808535058,0.008418007,0.11728515625
423,40960,20,96,315.85,315.85,-0.0023003230890026316,0.06780008971691132,0.2,0.0699504017829895,190,0.0003,-0.4864578047767282,0.2772746945163817,0.004403881,0.0421875
415,43008,21,103,335.08,335.08,-0.0018096484272973612,0.0012278379872441292,0.2,-0.007339835166931152,200,0.0003,-0.49281363701447845,0.17941985830984777,0.008382993,0.052197265625
408,45056,22,110,350.53,350.53,-0.0011611076479312032,-0.0064268698915839195,0.2,-0.0355604887008667,210,0.0003,-0.5129220121540129,0.12433447477960727,0.003375952,0.031689453125
401,47104,23,117,365.43,365.43,-0.0031446894456166772,0.01695205457508564,0.2,-0.04837620258331299,220,0.0003,-0.5013587987981737,0.07429834647227836,0.005944601,0.075390625
393,49152,24,124,378.18,378.18,-0.000855079959728755,0.014921657741069794,0.2,0.009599268436431885,230,0.0003,-0.5049637296237052,0.050777951090640275,0.003207261,0.019482421875
388,51200,25,131,389.82,389.82,-0.002011498765205033,0.012769706547260284,0.2,0.021069228649139404,240,0.0003,-0.5218241075053811,0.03213670727564022,0.0031410381,0.0341796875
383,53248,26,139,397.82,397.82,-0.002826893117162399,0.0010438919998705387,0.2,-0.07693719863891602,250,0.0003,-0.5127581100910902,0.02125078564786236,0.005410633,0.053759765625
378,55296,27,146,409.81,409.81,-0.0011639785050647333,-0.0027337325736880302,0.2,-0.019402384757995605,260,0.0003,-0.5009596252813935,0.013428639215180737,0.0037194786,0.03017578125
373,57344,28,153,422.22,422.22,-0.0007314327347557991,-0.0007513363379985094,0.2,0.013305187225341797,270,0.0003,-0.5167458730749785,0.00871080551396517,0.003504884,0.015185546875
369,59392,29,160,427.8,427.8,-0.0007315928727621212,0.009589056484401226,0.2,-0.02929842472076416,280,0.0003,-0.5147886387072503,0.005696371516023646,0.0042797495,0.021630859375
364,61440,30,168,437.35,437.35,-0.0026537258905591442,0.005644083023071289,0.2,-0.02574002742767334,290,0.0003,-0.5146966993808746,0.0040384668933256766,0.0046545356,0.041162109375
361,63488,31,175,441.53,441.53,-0.004212991820531897,-0.0037939304020255804,0.2,0.039686739444732666,300,0.0003,-0.5063621723093092,0.0025316875102362247,0.006713205,0.049169921875
359,65536,32,182,450.75,450.75,-0.001755482004955411,-0.01623033918440342,0.2,-0.07379090785980225,310,0.0003,-0.4752149016596377,0.0017106189464357157,0.0036471193,0.041015625
356,67584,33,189,451.42,451.42,-0.0036199686670443042,-0.01987294852733612,0.2,-0.024508953094482422,320,0.0003,-0.4800240353681147,0.0012201057313859565,0.0037130439,0.048974609375
354,69632,34,196,459.55,459.55,-0.002002761937910691,0.008472690358757973,0.2,-0.008935689926147461,330,0.0003,-0.46521301940083504,0.0008291333255328936,0.0034643847,0.0154296875
