train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,train/n_updates,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss
0.0001,347,-112.027193,4,0.9934070000000003,61,627,86.75,0,59.52214431762695
0.0001,758,-125.12619649999999,8,0.9855980000000004,164,838,94.75,0,22.414705276489258
0.0001,1157,-159.76619774999998,12,0.9780169999999997,264,934,96.41666666666667,1,12.907474517822266
0.0001,1476,-143.5466754375,16,0.9719560000000005,343,980,92.25,1,4.126671342419286e-07
0.0001,1831,-145.5983199,20,0.9652109999999995,432,1012,91.55,1,0.7579786777496338
0.0001,2228,-144.31166283333332,24,0.9576679999999999,531,1037,92.83333333333333,2,0.1774846613407135
0.0001,2629,-150.5511116785714,28,0.9500490000000001,632,1054,93.89285714285714,2,4.592178821563721
0.0001,3002,-147.4410951875,32,0.9429619999999999,725,1066,93.8125,2,5.943622589111328
0.0001,3385,-151.8228187777778,36,0.9356849999999994,821,1074,94.02777777777777,3,7.368770122528076
0.0001,3761,-155.1018983,40,0.9285409999999997,915,1079,94.025,3,15.819461822509766
0.0001,4144,-168.7717865681818,44,0.9212640000000004,1010,1084,94.18181818181819,3,14.99303150177002
0.0001,4515,-175.60652570833335,48,0.9142150000000002,1103,1088,94.0625,4,2.0740714073181152
0.0001,4871,-170.91165317307693,52,0.9074509999999998,1192,1091,93.67307692307692,4,0.21118931472301483
0.0001,5264,-173.94121194642858,56,0.8999840000000002,1290,1094,94.0,4,3.001530170440674
0.0001,5730,-177.01926113333334,60,0.8911299999999998,1407,1094,95.5,5,11.590869903564453
0.0001,6130,-176.79103623437499,64,0.8835299999999995,1507,1095,95.78125,5,1.4991629123687744
0.0001,6517,-176.21770913235295,68,0.8761770000000001,1604,1096,95.83823529411765,5,7.823798179626465
0.0001,6868,-174.22664856944442,72,0.8695080000000003,1691,1098,95.38888888888889,6,7.797396659851074
0.0001,7319,-176.39894357894738,76,0.8609389999999997,1804,1097,96.30263157894737,6,1.4438974857330322
0.0001,7715,-180.73869810000002,80,0.8534149999999995,1903,1097,96.4375,7,4.682248592376709
0.0001,8155,-185.33580622619047,84,0.8450549999999996,2013,1096,97.08333333333333,7,1.7620048522949219
0.0001,8578,-189.95218038636366,88,0.8370180000000005,2119,1096,97.47727272727273,7,2.638747453689575
0.0001,8975,-190.38133647826092,92,0.8294749999999999,2218,1096,97.55434782608695,8,1.6299901008605957
0.0001,9329,-189.05601222916667,96,0.8227490000000004,2307,1096,97.17708333333333,8,8.57584285736084
0.0001,9811,-190.66343406,100,0.8135909999999997,2427,1095,98.11,8,0.000635763572063297
0.0001,10192,-201.63762287999998,104,0.8063520000000004,2522,1094,98.45,9,0.7515413761138916
0.0001,10642,-203.88572954000003,108,0.7978020000000003,2635,1089,98.84,9,1.4733814168721437e-08
0.0001,11141,-206.76371186,112,0.7883209999999998,2760,1085,99.84,10,0.25560110807418823
0.0001,11470,-212.42953429999997,116,0.7820700000000004,2842,1084,99.94,10,4.580575942993164
0.0001,11956,-216.44190085,120,0.7728359999999996,2963,1076,101.25,11,2.5063700675964355
0.0001,12476,-219.24509794999997,124,0.7629560000000003,3093,1071,102.48,11,2.2689104080200195
0.0001,12940,-225.05057168,128,0.7541399999999999,3209,1065,103.11,12,13.386902809143066
0.0001,13463,-235.63965849999997,132,0.744203,3340,1060,104.61,12,5.387702941894531
0.0001,13940,-238.99444633999997,136,0.7351399999999999,3459,1058,105.55,13,0.17988787591457367
0.0001,14353,-236.80157389,140,0.727293,3563,1056,105.92,13,4.10159158706665
0.0001,14812,-236.28100984999998,144,0.7185720000000002,3677,1056,106.68,14,0.04921116307377815
0.0001,15258,-235.16063804000004,148,0.7100980000000001,3789,1055,107.43,14,6.52813720703125
0.0001,15834,-236.27923203999995,152,0.6991539999999997,3933,1052,109.63,15,7.102406978607178
0.0001,16309,-234.71371695,156,0.6901289999999998,4052,1050,110.45,15,2.712857723236084
0.0001,16988,-237.26127499000003,160,0.6772279999999999,4221,1045,112.58,16,15.821828842163086
0.0001,17532,-238.44806541000003,164,0.6668920000000003,4357,1042,114.02,16,0.014167657122015953
