train/learning_rate,time/fps,train/loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates
0.0001,496,5.455907344818115,-194.62369625000002,4,358,0,0.9931979999999996,89.5,64
0.0001,573,4.907475471496582,-196.899621,8,801,1,0.9847810000000001,100.125,175
0.0001,601,1.8096457719802856,-170.62721183333335,12,1175,1,0.9776750000000004,97.91666666666667,268
0.0001,612,9.44267463684082,-152.26529956250002,16,1445,2,0.9725450000000005,90.3125,336
0.0001,618,1.0839401483535767,-142.86996175000002,20,1749,2,0.966769,87.45,412
0.0001,625,1.531590223312378,-148.37588508333332,24,2176,3,0.9586559999999997,90.66666666666667,518
0.0001,629,1.0774052143096924,-148.01103528571426,28,2515,3,0.9522150000000003,89.82142857142857,603
0.0001,631,1.7550086975097656,-154.37227662499998,32,2839,4,0.9460590000000004,88.71875,684
0.0001,631,0.8926180601119995,-148.99624580555553,36,3118,4,0.9407579999999998,86.61111111111111,754
0.0001,631,4.3071746826171875,-150.802856975,40,3479,5,0.9338989999999998,86.975,844
0.0001,632,3.848346710205078,-155.73619186363638,44,3835,6,0.9271350000000005,87.1590909090909,933
0.0001,631,1.4351779222488403,-151.54157695833334,48,4203,6,0.9201429999999998,87.5625,1025
0.0001,631,0.9919273853302002,-158.12982348076923,52,4602,7,0.9125620000000001,88.5,1125
0.0001,632,3.806473731994629,-162.29879801785714,56,5081,8,0.903461,90.73214285714286,1245
0.0001,633,1.44200599193573,-163.61257816666665,60,5502,8,0.8954619999999999,91.7,1350
0.0001,636,0.5236167907714844,-161.99348253125,64,5919,9,0.8875389999999999,92.484375,1454
0.0001,639,3.93415904045105,-160.97804583823532,68,6293,9,0.8804330000000001,92.54411764705883,1548
0.0001,641,0.5326908230781555,-158.34045923611112,72,6728,10,0.8721679999999998,93.44444444444444,1656
0.0001,640,3.512824296951294,-160.08064788157898,76,7155,11,0.8640549999999996,94.14473684210526,1763
0.0001,639,0.477217435836792,-161.4120598875,80,7633,11,0.854973,95.4125,1883
0.0001,638,3.638601541519165,-166.44560642857144,84,8120,12,0.8457199999999997,96.66666666666667,2004
0.0001,637,0.7208060026168823,-169.05515520454549,88,8554,13,0.8374739999999999,97.20454545454545,2113
0.0001,636,0.8555244207382202,-168.3173148369565,92,8990,14,0.8291900000000001,97.71739130434783,2222
0.0001,636,5.167916297912598,-169.11346828125,96,9424,14,0.8209440000000002,98.16666666666667,2330
0.0001,633,4.22795295715332,-171.52876882,100,9954,15,0.8108739999999997,99.54,2463
0.0001,633,1.2047600746154785,-169.10256627,104,10404,16,0.8023239999999996,100.46,2575
0.0001,632,0.9541937708854675,-166.50765004000002,108,10793,17,0.7949330000000001,99.92,2673
0.0001,630,1.6861658096313477,-165.79884374000002,112,11325,17,0.7848250000000005,101.5,2806
0.0001,630,0.6095624566078186,-165.08844981,116,11717,18,0.7773770000000004,102.72,2904
0.0001,629,3.8241734504699707,-167.20046091,120,12184,19,0.7685040000000005,104.35,3020
0.0001,628,1.931350827217102,-167.42681313,124,12688,20,0.7589280000000005,105.12,3146
0.0001,627,0.7759659290313721,-165.68380482,128,13003,20,0.7529430000000003,104.88,3225
0.0001,626,0.7699918746948242,-162.09044427999999,132,13488,21,0.743728,106.49,3346
0.0001,625,2.6404972076416016,-163.43461521,136,13895,22,0.7359950000000002,107.77,3448
0.0001,624,4.158054828643799,-160.44258078,140,14345,22,0.7274450000000001,108.66,3561
0.0001,601,2.4417171478271484,-155.09789217000002,144,15723,26,0.7012630000000002,118.88,3905
0.0001,600,2.330562114715576,-155.96041821999998,148,16316,27,0.689996,121.13,4053
0.0001,599,0.7534016370773315,-152.01437037000002,152,16795,28,0.6808949999999999,121.93,4173
0.0001,596,3.475247621536255,-147.22027179,156,17424,29,0.6689440000000001,123.43,4330
0.0001,596,0.8963378667831421,-145.73258113999998,160,17914,30,0.6596340000000003,124.12,4453
0.0001,595,6.877622127532959,-144.42665778999998,164,18359,30,0.6511789999999997,124.4,4564
0.0001,595,0.4238559603691101,-143.39569165,168,18896,31,0.6409759999999995,126.03,4698
0.0001,595,1.4276244640350342,-143.2910762,172,19463,32,0.6302029999999998,127.35,4840
0.0001,594,1.0679514408111572,-141.49233629,176,19939,33,0.6211590000000003,127.84,4959
0.0001,594,0.6550922393798828,-139.28889313,180,20573,34,0.6091129999999999,129.4,5118
0.0001,592,0.41495251655578613,-133.02655151000002,184,21228,35,0.5966679999999995,131.08,5281
0.0001,591,3.2668724060058594,-130.32482747000003,188,21905,37,0.5838049999999999,133.51,5451
0.0001,590,0.40012675523757935,-127.66080058,192,22479,38,0.5728989999999996,134.89,5594
0.0001,589,0.7152833938598633,-124.46862902999997,196,23153,39,0.5600930000000004,137.29,5763
0.0001,584,0.9613582491874695,-119.53897183999999,200,24196,41,0.5402760000000002,142.42,6023
0.0001,581,0.7571279406547546,-118.86704059,204,24927,42,0.5263870000000005,145.23,6206
0.0001,580,0.5171524286270142,-118.25882097999998,208,25432,43,0.5167919999999999,146.39,6332
0.0001,579,0.7890389561653137,-119.27219276,212,26231,45,0.501611,149.06,6532
0.0001,575,3.589236259460449,-120.60695513,216,27230,47,0.48263000000000056,155.13,6782
0.0001,565,1.144120454788208,-114.93258336000001,220,28709,50,0.4545290000000004,165.25,7152
0.0001,551,1.5620163679122925,-110.68853365000001,224,30303,54,0.4242429999999996,176.15,7550
0.0001,549,1.2598779201507568,-111.32581669000001,228,31365,57,0.40406500000000056,183.62,7816
0.0001,548,7.23206090927124,-114.56770169,232,32078,58,0.39051800000000014,185.9,7994
0.0001,539,2.753807544708252,-110.40225918000002,236,33512,62,0.36327200000000026,196.17,8352
0.0001,530,1.926892876625061,-111.14058625,240,35107,66,0.3329670000000001,207.62,8751
0.0001,530,0.8241125345230103,-111.64772726,244,36071,68,0.3146509999999997,203.48,8992
0.0001,523,0.850010871887207,-107.56650266000003,248,37715,72,0.2834150000000001,213.99,9403
0.0001,501,1.1442731618881226,-101.86055691000001,252,40126,79,0.2376060000000002,233.31,10006
0.0001,495,1.7723028659820557,-102.35300695999999,256,42043,84,0.20118300000000022,246.19,10485
0.0001,491,0.7111655473709106,-100.90500737,260,43587,88,0.17184700000000042,256.73,10871
0.0001,487,0.7810543775558472,-93.38744542999999,264,45643,93,0.13278300000000032,272.84,11385
0.0001,485,1.0600972175598145,-93.05378366,268,47152,97,0.10411200000000065,282.56,11762
0.0001,479,0.9918768405914307,-90.19483384000002,272,49106,102,0.06698600000000043,296.43,12251
0.0001,476,0.740112841129303,-91.55562636,276,50656,106,0.05,307.17,12638
