time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_loss,train/value_loss,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,train/explained_variance,rollout/ep_rew_mean
5,-0.00034526517265476286,0.01,99,-0.00043299971730448306,308.0533142089844,100,108.15625,4000,668,0.0074648261070251465,-658.53507678125
11,-0.0004942430532537401,0.01,199,-0.00011925185390282422,489.1142578125,200,109.78873239436619,8000,724,0.5746914446353912,-688.9081857464789
15,-0.0008134886738844216,0.01,299,-0.0012419330887496471,849.630859375,300,90.61,12000,758,3.0994415283203125e-06,-651.02957253
20,-0.0019664973951876163,0.01,399,-0.001693863421678543,498.9219665527344,400,66.49,16000,778,0.0056906938552856445,-564.33946247
25,-0.02566707693040371,0.01,499,-0.036466892808675766,2416.841796875,500,67.24,20000,793,0.012347221374511719,-570.91811177
30,-0.000589106057304889,0.01,599,0.0004445352533366531,12691.0654296875,600,68.29,24000,797,-9.047985076904297e-05,-583.4000060899999
34,-0.00016532957670278847,0.01,699,-0.00015499272558372468,351.0417175292969,700,68.24,28000,800,-0.8275655508041382,-565.08659231
39,-0.00019990986038465053,0.01,799,-4.520708171185106e-05,33.91670608520508,800,66.81,32000,805,0.981831343844533,-561.8496715699999
44,-0.0003361163253430277,0.01,899,-0.0007520937942899764,1069.0377197265625,900,66.82,36000,806,0.8550311028957367,-544.46191855
49,-0.00029685324989259243,0.01,999,2.3863046862970805e-06,1361.271484375,1000,68.68,40000,809,0.6470066905021667,-572.7728539299999
54,-0.0003591057611629367,0.01,1099,-5.063470598543063e-05,76.03404998779297,1100,67.01,44000,813,0.986093851737678,-570.22390734
58,-0.0004981139791198075,0.01,1199,-3.3550732041476294e-05,95.1125259399414,1200,65.33,48000,815,0.9871314680203795,-561.3244460800001
63,-0.0010201598051935434,0.01,1299,-7.083582750055939e-05,23.611572265625,1300,67.98,52000,818,0.9953044541180134,-592.48519833
68,-0.005422317422926426,0.01,1399,0.0023036450147628784,31.8057804107666,1400,70.28,56000,822,0.7566902935504913,-525.35634576
72,-0.0007862955681048334,0.01,1499,0.0008329340489581227,77.4402084350586,1500,71.67,60000,824,0.9900968559086323,-485.8932776099999
77,-0.00017251333338208497,0.01,1599,-2.6132469429285266e-05,63.4398078918457,1600,69.56,64000,825,0.9914834881201386,-611.19083461
82,-0.00015915014955680817,0.01,1699,3.174402809236199e-05,58.7073860168457,1700,64.67,68000,826,0.9842570871114731,-536.50476264
86,-0.00013637069787364453,0.01,1799,4.686778538598446e-06,36.56906509399414,1800,65.12,72000,828,0.9962125937454402,-552.42149452
91,-0.00015314908523578197,0.01,1899,-6.0138216213090345e-05,45.34102249145508,1900,67.22,76000,829,0.9880732139572501,-576.9909542999999
96,-0.00014676449063699692,0.01,1999,0.00010531071893638,357.2449645996094,2000,65.81,80000,830,0.9758471455425024,-568.58714492
100,-0.00019642958068288863,0.01,2099,-0.00013222517736721784,217.42906188964844,2100,68.06,84000,833,0.9871811224147677,-583.11610424
105,-0.00014106005255598575,0.01,2199,4.621610787580721e-05,119.49794006347656,2200,68.27,88000,837,0.9930029534734786,-582.1493579899999
109,-6.685446805931861e-06,0.01,2299,3.5232981190347346e-06,385.46319580078125,2300,67.05,92000,841,0.9736914373934269,-579.41800695
113,-4.484225883061299e-06,0.01,2399,2.374634959778632e-06,75.51649475097656,2400,68.54,96000,845,0.9872923288494349,-609.8162313199999
117,-3.4568606679385994e-06,0.01,2499,-0.0,24.5073299407959,2500,67.46,100000,848,0.9977625331375748,-591.8441009
