time/episodes,train/n_updates,time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean
4,81,0,3053,0.001,426,0.7929660677909851,0.8625119999999996,106.5,-141.64087525
8,220,0,2980,0.001,984,4.02107572555542,0.8134080000000004,123.0,-182.23998575000002
12,339,0,2984,0.001,1460,3.614694595336914,0.7715200000000005,121.66666666666667,-158.53747458333333
16,464,0,2978,0.001,1959,0.7501670122146606,0.727608,122.4375,-159.93673168750001
20,648,0,2803,0.001,2695,2.2354891300201416,0.6628399999999998,134.75,-154.98159755
24,755,1,2751,0.001,3124,1.9185235500335693,0.6250879999999996,130.16666666666666,-142.40922333333336
28,869,1,2696,0.001,3578,0.31372585892677307,0.5851359999999997,127.78571428571429,-143.31363753571432
32,1076,1,2477,0.001,4405,2.8542299270629883,0.5123599999999997,137.65625,-136.10175559375
36,1233,2,2461,0.001,5034,2.063912868499756,0.4570079999999996,139.83333333333334,-126.48537436111113
40,1434,2,2410,0.001,5837,0.45927995443344116,0.3863439999999997,145.925,-129.80112617499998
44,1653,2,2376,0.001,6713,0.9783624410629272,0.30925599999999986,152.5681818181818,-124.56284272727271
48,1919,3,2297,0.001,7777,0.6328050494194031,0.21562400000000004,162.02083333333334,-129.7845005625
52,2272,4,2180,0.001,9190,1.743468999862671,0.09128000000000025,176.73076923076923,-135.98403675
56,2670,5,1821,0.001,10783,0.449515700340271,0.02,192.55357142857142,-134.01107907142858
60,3041,7,1597,0.001,12266,0.5035134553909302,0.02,204.43333333333334,-143.37674678333335
64,3206,7,1617,0.001,12928,0.3921968638896942,0.02,202.0,-148.175881890625
68,3476,8,1626,0.001,14005,0.5961587429046631,0.02,205.9558823529412,-152.57898252941175
72,3784,9,1600,0.001,15238,0.6969472169876099,0.02,211.63888888888889,-149.5223638611111
76,4206,11,1481,0.001,16926,0.412801593542099,0.02,222.71052631578948,-146.11295690789476
80,4468,12,1497,0.001,17973,1.9639278650283813,0.02,224.6625,-140.2080477375
84,4787,12,1497,0.001,19252,1.8187891244888306,0.02,229.1904761904762,-137.3439670595238
88,5110,13,1496,0.001,20542,0.5462523102760315,0.02,233.4318181818182,-135.46793523863636
92,5457,14,1486,0.001,21932,0.713791012763977,0.02,238.3913043478261,-130.4339498695652
96,5718,15,1498,0.001,22975,0.4969339966773987,0.02,239.32291666666666,-131.45384542708334
100,6059,16,1500,0.001,24338,0.6081956028938293,0.02,243.38,-132.28931642999999
104,6433,17,1481,0.001,25836,0.4597455859184265,0.02,254.1,-135.04795625999998
108,6905,19,1427,0.001,27721,0.36144545674324036,0.02,267.37,-130.99803726
112,7217,20,1439,0.001,28970,0.6233667135238647,0.02,275.1,-131.06616555999997
116,7529,20,1449,0.001,30220,1.0223400592803955,0.02,282.61,-126.90351398000001
120,8068,22,1434,0.001,32373,0.8446836471557617,0.02,296.78,-123.78974680000002
124,8402,23,1444,0.001,33709,1.1386768817901611,0.02,305.85,-123.43665012
128,8759,24,1449,0.001,35140,0.7537773251533508,0.02,315.62,-117.40338340999999
132,9378,27,1385,0.001,37615,0.6730280518531799,0.02,332.1,-108.60600795999999
136,9815,28,1368,0.001,39363,0.7475162148475647,0.02,343.29,-105.18707544
140,10432,32,1306,0.001,41832,1.9659104347229004,0.02,359.95,-100.23751887999998
144,10891,33,1299,0.001,43666,2.863154649734497,0.02,369.53,-97.0470946
148,11352,35,1299,0.001,45512,0.8736653327941895,0.02,377.35,-82.77930495000001
152,11796,36,1297,0.001,47285,2.052955389022827,0.02,380.95,-67.62170628999998
156,12217,37,1303,0.001,48970,0.4098038077354431,0.02,381.87,-61.38482362999999
160,12687,39,1298,0.001,50852,1.4888739585876465,0.02,385.86,-51.27043469
164,13308,41,1278,0.001,53335,0.4506523609161377,0.02,404.07,-41.42990497999999
168,13896,44,1237,0.001,55687,0.5414907336235046,0.02,416.82,-32.456404899999995
172,14613,48,1213,0.001,58555,0.3489452600479126,0.02,433.17,-26.658543379999998
176,15226,50,1209,0.001,61007,0.39905640482902527,0.02,440.81,-18.1370874
180,15901,53,1190,0.001,63707,1.3867136240005493,0.02,457.34,-16.57091302
184,16563,56,1180,0.001,66354,0.777493417263031,0.02,471.02,-14.663121189999995
188,17284,59,1157,0.001,69237,0.2958730459213257,0.02,486.95,-11.100866490000003
192,17747,61,1154,0.001,71090,0.34167659282684326,0.02,491.58,-9.417313210000001
196,18197,63,1152,0.001,72890,0.2424997240304947,0.02,499.15,3.2179816299999993
200,19034,67,1127,0.001,76237,0.2860843539237976,0.02,518.99,9.549922819999999
204,19589,69,1121,0.001,78458,0.3751029968261719,0.02,526.22,15.424448660000001
208,20384,74,1103,0.001,81638,0.2964746654033661,0.02,539.17,18.72764277
212,21351,78,1091,0.001,85508,0.2654283046722412,0.02,565.38,20.580717680000003
216,22149,82,1074,0.001,88697,0.3019493520259857,0.02,584.77,19.693928450000005
220,23149,86,1069,0.001,92697,0.19751881062984467,0.02,603.24,20.705294330000005
224,23905,89,1069,0.001,95723,0.25624704360961914,0.02,620.14,21.01526426
228,24580,92,1067,0.001,98422,0.25358161330223083,0.02,632.82,18.047668320000007
